scenario_index,episode_length,accuracy,at_fault_collision,comfort,distance_into_oncoming_traffic,nuplan_driving_direction_compliance,log_divergence,offroad,offroad_in_box,distance_on_multiple_lanes,time_on_multiple_lanes,multiple_lanes_score,overlap,progress_ratio,making_progress,run_red_light,sdc_off_route,sdc_progression,sdc_wrongway,max_overspeed_m_per_s,max_overspeed_km_per_h,nuplan_speed_compliance,min_ttc,average_ttc,ttc_within_bound,nuplan_aggregate_score,vmax_aggregate_score,rideflux_aggregate_score,fail_accuracy,fail_overlap,fail_offroad,fail_at_fault_collision,fail_overlap_and_offroad,fail_collision_and_overlap,at_fault_without_overlap,low_progress_05,low_progress_07,low_comfort_05,low_rideflux_05,zero_rideflux,primary_category
13,1,0,1.0,1.0,0.0,1.0,0.0055940687,1.0,0.0,0.010815969,0.1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.0,True,True,False,True,False,True,False,False,False,False,True,True,OVERLAP+AT_FAULT
24,27,0,1.0,0.6296296,0.0,1.0,2.2054486,0.0,0.0,42.35717,2.7,1.0,1.0,0.3193352,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.8,0.0,0.0,0.0,0.0,True,True,False,True,False,True,False,True,True,False,True,True,OVERLAP+AT_FAULT
29,14,0,1.0,0.5714286,0.0,1.0,0.3739709,1.0,0.0,25.501446,1.4,1.0,1.0,0.18427512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.6,0.0,0.0,0.0,0.0,True,True,False,True,False,True,False,True,True,False,True,True,OVERLAP+AT_FAULT
31,1,0,1.0,1.0,0.0,1.0,0.0031075526,1.0,0.0,0.005977977,0.1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.0,True,True,False,True,False,True,False,False,False,False,True,True,OVERLAP+AT_FAULT
112,2,0,1.0,1.0,0.0,1.0,0.0032751083,1.0,0.0,0.0025484595,0.2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,0.0,True,True,False,True,False,True,False,False,False,False,True,True,OVERLAP+AT_FAULT
140,1,0,1.0,1.0,0.0,1.0,0.014522377,1.0,0.0,0.027766857,0.1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.2000003,4.2000003,1.0,0.0,0.0,0.0,True,True,False,True,False,True,False,False,False,False,True,True,OVERLAP+AT_FAULT
142,40,0,1.0,0.22500001,0.0,1.0,10.871498,1.0,0.0,66.98007,4.0,0.5,1.0,0.85747963,1.0,0.0,0.0,0.0,0.0,7.26824,26.165663,0.0,0.0,3.235,0.0,0.0,0.0,0.0,True,True,False,True,False,True,False,False,False,True,True,True,OVERLAP+AT_FAULT
145,55,0,1.0,0.76363635,0.0,1.0,12.563522,1.0,0.0,61.986923,4.800000000000001,0.5,1.0,0.47454846,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.9,4.9981813,1.0,0.0,0.0,0.0,True,True,False,True,False,True,False,True,True,False,True,True,OVERLAP+AT_FAULT
158,10,0,1.0,0.0,0.0,1.0,0.6879418,1.0,0.0,10.730562,1.0,1.0,1.0,0.10361835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,4.15,0.0,0.0,0.0,0.0,True,True,False,True,False,True,False,True,True,True,True,True,OVERLAP+AT_FAULT
231,69,0,1.0,0.8550725,0.0,1.0,4.3017516,1.0,0.0,142.61705,6.9,0.0,1.0,0.8194018,1.0,0.0,0.0,0.0,0.0,1.8279381,6.580577,0.68618345,0.0,3.7724636,0.0,0.0,0.0,0.0,True,True,False,True,False,True,False,False,False,False,True,True,OVERLAP+AT_FAULT
