scenario_index,episode_length,accuracy,at_fault_collision,comfort,distance_into_oncoming_traffic,nuplan_driving_direction_compliance,log_divergence,offroad,offroad_in_box,distance_on_multiple_lanes,time_on_multiple_lanes,multiple_lanes_score,overlap,progress_ratio,making_progress,run_red_light,sdc_off_route,sdc_progression,sdc_wrongway,max_overspeed_m_per_s,max_overspeed_km_per_h,nuplan_speed_compliance,min_ttc,average_ttc,ttc_within_bound,nuplan_aggregate_score,vmax_aggregate_score,rideflux_aggregate_score,fail_accuracy,fail_overlap,fail_offroad,fail_at_fault_collision,fail_overlap_and_offroad,fail_collision_and_overlap,at_fault_without_overlap,low_progress_05,low_progress_07,low_comfort_05,low_rideflux_05,zero_rideflux,primary_category
0,80,1,0.0,0.8875,0.0,1.0,5.092324,1.0,0.0,78.78019,5.300000000000001,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5340748,1.9226692,0.9622071,5.0,5.0,1.0,0.0,0.0,0.96625006,False,False,False,False,False,False,False,False,False,False,False,False,PASS
1,58,0,0.0,0.8448276,0.0,1.0,0.9514631,1.0,1.0,39.29812,5.800000000000001,0.0,0.0,0.6600362,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.8965516,1.0,0.0,0.0,0.0,True,False,True,False,False,False,False,False,True,False,True,True,OFFROAD
2,80,1,0.0,0.875,0.0,1.0,14.311643,1.0,0.0,64.105225,8.0,0.0,0.0,0.6872841,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.7435989,False,False,False,False,False,False,False,False,True,False,False,False,PASS
3,80,1,0.0,0.725,0.0,1.0,3.3013024,0.0,0.0,54.737183,5.9,0.0,0.0,0.982406,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.9601269,0.8085279,0.9051842,False,False,False,False,False,False,False,False,False,False,False,False,PASS
4,80,1,0.0,0.8875,0.0,1.0,11.689429,1.0,0.0,94.40471,5.4,0.5,0.0,0.8006291,1.0,0.0,0.0,0.0,0.0,0.01966858,0.07080688,0.99988836,5.0,5.0,1.0,0.0,0.0,0.8266903,False,False,False,False,False,False,False,False,False,False,False,False,PASS
5,80,1,0.0,1.0,0.0,1.0,0.087601535,0.0,0.0,0.0,0.0,1.0,0.0,0.9989648,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.99967647,0.99972755,0.9992754,False,False,False,False,False,False,False,False,False,False,False,False,PASS
6,80,1,0.0,1.0,0.0,1.0,2.405913,1.0,0.0,15.019285,8.0,0.0,0.0,0.97095114,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.4,4.9837503,1.0,0.0,0.0,0.97966576,False,False,False,False,False,False,False,False,False,False,False,False,PASS
7,80,1,0.0,0.7375,0.0,1.0,10.466361,0.0,0.0,57.810722,5.1000000000000005,0.5,0.0,0.79929036,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.9044658,0.84060276,0.7807533,False,False,False,False,False,False,False,False,False,False,False,False,PASS
8,80,1,0.0,1.0,0.0,1.0,1.08064,1.0,0.0,62.28397,7.800000000000001,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.8,4.99625,1.0,0.0,0.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,PASS
9,80,1,0.0,0.925,0.0,1.0,3.7689626,1.0,0.0,47.11403,8.0,0.0,0.0,0.99999994,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.97749996,False,False,False,False,False,False,False,False,False,False,False,False,PASS
10,80,1,0.0,0.8875,0.0,1.0,1.6931435,1.0,0.0,50.84844,6.2,0.0,0.0,0.97547793,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.3,4.535,1.0,0.0,0.0,0.94908446,False,False,False,False,False,False,False,False,False,False,False,False,PASS
11,80,1,0.0,0.8875,0.0,1.0,12.918181,1.0,0.0,110.057495,6.4,0.0,0.0,0.83652323,1.0,0.0,0.0,0.0,0.0,0.5493717,1.9777381,0.989921,5.0,5.0,1.0,0.0,0.0,0.8518163,False,False,False,False,False,False,False,False,False,False,False,False,PASS
12,80,1,0.0,1.0,0.0,1.0,0.14589216,1.0,0.0,0.13240476,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,PASS
13,1,0,1.0,1.0,0.0,1.0,0.0055940687,1.0,0.0,0.010815969,0.1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.0,True,True,False,True,False,True,False,False,False,False,True,True,OVERLAP+AT_FAULT
14,80,1,0.0,0.8875,0.0,1.0,10.734176,1.0,0.0,141.4139,8.0,0.0,0.0,0.8260731,1.0,0.0,0.0,0.0,0.0,0.98479843,3.5452743,0.96221733,5.0,5.0,1.0,0.0,0.0,0.84450114,False,False,False,False,False,False,False,False,False,False,False,False,PASS
15,80,1,0.0,0.675,0.0,1.0,12.247798,1.0,0.0,160.51707,7.800000000000001,0.0,0.0,0.86163837,1.0,0.0,0.0,0.0,0.0,3.372158,12.139769,0.6489096,5.0,5.0,1.0,0.0,0.0,0.8056469,False,False,False,False,False,False,False,False,False,False,False,False,PASS
16,80,1,0.0,1.0,0.0,1.0,6.550154,0.0,0.0,111.76523,8.0,0.0,0.0,0.8646715,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.95770985,0.8064925,0.90527004,False,False,False,False,False,False,False,False,False,False,False,False,PASS
17,80,1,0.0,0.8875,0.0,1.0,7.39146,1.0,0.0,128.46297,8.0,0.0,0.0,0.9002727,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.8964409,False,False,False,False,False,False,False,False,False,False,False,False,PASS
18,80,1,0.0,1.0,0.0,1.0,7.138266,0.0,0.0,62.1083,8.0,0.0,0.0,0.7455458,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.92048305,0.7751436,0.82188207,False,False,False,False,False,False,False,False,False,False,False,False,PASS
19,80,1,0.0,0.8,0.0,1.0,5.979289,0.0,0.0,72.49745,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,4.7125,1.0,0.975,0.8210527,0.94,False,False,False,False,False,False,False,False,False,False,False,False,PASS
20,80,1,0.0,0.875,0.0,1.0,15.185312,1.0,0.0,102.85208,6.0,0.0,0.0,0.7749516,1.0,0.0,0.0,0.0,0.0,1.6155834,5.8161,0.9400341,5.0,5.0,1.0,0.0,0.0,0.80496615,False,False,False,False,False,False,False,False,False,False,False,False,PASS
21,80,1,0.0,1.0,0.0,1.0,2.0162022,1.0,0.0,5.6552353,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,PASS
22,80,1,0.0,1.0,0.0,1.0,0.2651089,1.0,0.0,0.25626075,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.6,4.9762497,1.0,0.0,0.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,PASS
23,80,1,0.0,0.8875,0.0,1.0,10.781614,0.0,0.0,135.4407,8.0,0.0,0.0,0.82487917,1.0,0.0,0.0,0.0,0.0,0.26255798,0.9452087,0.9969474,5.0,5.0,1.0,0.930449,0.783536,0.8436654,False,False,False,False,False,False,False,False,False,False,False,False,PASS
24,27,0,1.0,0.6296296,0.0,1.0,2.2054486,0.0,0.0,42.35717,2.7,1.0,1.0,0.3193352,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.8,0.0,0.0,0.0,0.0,True,True,False,True,False,True,False,True,True,False,True,True,OVERLAP+AT_FAULT
25,80,1,0.0,0.8625,0.0,1.0,11.901898,0.0,0.0,65.6747,6.9,0.0,0.0,0.72693396,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.8974794,0.7557722,0.7676038,False,False,False,False,False,False,False,False,False,False,False,False,PASS
26,80,1,0.0,1.0,0.0,1.0,0.07736154,0.0,0.0,0.1138025,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.8,4.99125,1.0,1.0,0.84210527,1.0,False,False,False,False,False,False,False,False,False,False,False,False,PASS
27,80,1,0.0,0.8875,9.262033,0.0,3.0519621,1.0,0.0,61.253334,8.0,0.0,0.0,0.9417385,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.92546695,False,False,False,False,False,False,False,False,False,False,False,False,PASS
28,80,1,0.0,0.925,0.0,1.0,12.450792,1.0,0.0,78.50845,8.0,0.0,0.0,0.69889396,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.1,4.91,1.0,0.0,0.0,0.7667258,False,False,False,False,False,False,False,False,True,False,False,False,PASS
29,14,0,1.0,0.5714286,0.0,1.0,0.3739709,1.0,0.0,25.501446,1.4,1.0,1.0,0.18427512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.6,0.0,0.0,0.0,0.0,True,True,False,True,False,True,False,True,True,False,True,True,OVERLAP+AT_FAULT
30,80,1,0.0,0.8875,0.0,1.0,9.686007,1.0,0.0,0.0,0.0,1.0,0.0,0.7866564,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.81690943,False,False,False,False,False,False,False,False,False,False,False,False,PASS
31,1,0,1.0,1.0,0.0,1.0,0.0031075526,1.0,0.0,0.005977977,0.1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.0,True,True,False,True,False,True,False,False,False,False,True,True,OVERLAP+AT_FAULT
32,80,1,0.0,1.0,0.0,1.0,0.07815371,0.0,0.0,0.07030959,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,1.0,0.84210527,1.0,False,False,False,False,False,False,False,False,False,False,False,False,PASS
33,80,1,0.0,1.0,0.0,1.0,0.014382714,1.0,0.0,0.15923132,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,PASS
34,80,1,0.0,0.8625,0.0,1.0,1.8940934,1.0,0.0,56.46833,7.7,0.0,0.0,0.92701626,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.3,4.9425,1.0,0.0,0.0,0.90766144,False,False,False,False,False,False,False,False,False,False,False,False,PASS
35,80,1,0.0,0.8875,0.0,1.0,6.686815,1.0,0.0,72.94862,8.0,0.0,0.0,0.82434976,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.7,4.645,1.0,0.0,0.0,0.8432948,False,False,False,False,False,False,False,False,False,False,False,False,PASS
36,80,1,0.0,1.0,0.0,1.0,0.0151578905,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,PASS
37,1,0,0.0,0.0,0.0,1.0,0.25058773,1.0,1.0,2.3347082,0.1,1.0,0.0,0.013706785,0.0,0.0,0.0,0.0,0.0,3.230856,11.631081,1.0,5.0,5.0,1.0,0.0,0.0,0.0,True,False,True,False,False,False,False,True,True,True,True,True,OFFROAD
38,80,1,0.0,0.925,0.0,1.0,3.214991,1.0,0.0,36.738785,6.9,0.0,0.0,0.8188209,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.8,4.8562503,1.0,0.0,0.0,0.8506746,False,False,False,False,False,False,False,False,False,False,False,False,PASS
39,80,1,0.0,0.875,0.0,1.0,13.089813,0.0,0.0,116.98326,6.2,0.0,0.0,0.79978323,1.0,0.0,0.0,0.0,0.0,2.2386208,8.059034,0.87118894,5.0,5.0,1.0,0.8896045,0.7491406,0.82234824,False,False,False,False,False,False,False,False,False,False,False,False,PASS
40,80,1,0.0,0.71250004,0.0,1.0,10.941489,1.0,0.0,146.96921,8.0,0.0,0.0,0.83172363,1.0,0.0,0.0,0.0,0.0,0.35194778,1.267012,0.9956958,5.0,5.0,1.0,0.0,0.0,0.79595655,False,False,False,False,False,False,False,False,False,False,False,False,PASS
41,80,1,0.0,0.8,0.0,1.0,1.2330183,0.0,0.0,139.21164,8.0,0.0,0.0,0.9873938,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.9710606,0.81773525,0.93117565,False,False,False,False,False,False,False,False,False,False,False,False,PASS
42,80,1,0.0,0.8875,0.0,1.0,7.289921,1.0,0.0,166.3237,8.0,0.0,0.0,0.90733135,1.0,0.0,0.0,0.0,0.0,3.2257977,11.612871,0.492814,5.0,5.0,1.0,0.0,0.0,0.9013819,False,False,False,False,False,False,False,False,False,False,False,False,PASS
