scenario_index,v17_RideFlux,v24_RideFlux,delta_RideFlux,v17_Progress,v24_Progress,delta_Progress,v17_Comfort,v24_Comfort,delta_Comfort,v17_Collision,v24_Collision,delta_Collision,v17_Overlap,v24_Overlap,delta_Overlap,v17_OffroadBox,v24_OffroadBox,delta_OffroadBox,v17_Accuracy,v24_Accuracy,delta_Accuracy,offroad_fixed_by_v24,offroad_new_in_v24,overlap_fixed_by_v24,overlap_new_in_v24,collision_fixed_by_v24,collision_new_in_v24
0,0.96625006,0.93997824,-0.026271820000000057,1.0,0.96246886,-0.03753114000000002,0.8875,0.8875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
1,0.0,0.85544044,0.85544044,0.6600362,0.79348636,0.13345015999999998,0.8448276,1.0,0.1551724,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0,1,1,True,False,False,False,False,False
2,0.7435989,0.85682243,0.11322353000000007,0.6872841,0.8543892,0.1671051,0.875,0.8625,-0.012499999999999956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
3,0.9051842,0.89557403,-0.009610169999999973,0.982406,0.89903426,-0.08337174000000003,0.725,0.8875,0.16249999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
4,0.8266903,0.9028292,0.07613890000000001,0.8006291,0.9254702,0.12484110000000004,0.8875,0.85,-0.03749999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
5,0.9992754,0.9981284,-0.0011470000000000091,0.9989648,0.9973263,-0.0016384999999999872,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
6,0.97966576,0.89151937,-0.08814639000000002,0.97095114,0.84502774,-0.12592340000000002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
7,0.7807533,0.8161023,0.035348999999999964,0.79929036,0.849789,0.05049864000000004,0.7375,0.7375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
8,1.0,0.9428595,-0.05714050000000004,1.0,0.9183706,-0.08162939999999996,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
9,0.97749996,0.88873094,-0.08876901999999998,0.99999994,0.8410442,-0.15895574,0.925,1.0,0.07499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
