scenario_index,episode_length_v17,accuracy_v17,at_fault_collision_v17,comfort_v17,distance_into_oncoming_traffic_v17,nuplan_driving_direction_compliance_v17,log_divergence_v17,offroad_v17,offroad_in_box_v17,distance_on_multiple_lanes_v17,time_on_multiple_lanes_v17,multiple_lanes_score_v17,overlap_v17,progress_ratio_v17,making_progress_v17,run_red_light_v17,sdc_off_route_v17,sdc_progression_v17,sdc_wrongway_v17,max_overspeed_m_per_s_v17,max_overspeed_km_per_h_v17,nuplan_speed_compliance_v17,min_ttc_v17,average_ttc_v17,ttc_within_bound_v17,nuplan_aggregate_score_v17,vmax_aggregate_score_v17,rideflux_aggregate_score_v17,episode_length_v25,accuracy_v25,at_fault_collision_v25,comfort_v25,distance_into_oncoming_traffic_v25,nuplan_driving_direction_compliance_v25,log_divergence_v25,offroad_v25,offroad_in_box_v25,distance_on_multiple_lanes_v25,time_on_multiple_lanes_v25,multiple_lanes_score_v25,overlap_v25,progress_ratio_v25,making_progress_v25,run_red_light_v25,sdc_off_route_v25,sdc_progression_v25,sdc_wrongway_v25,max_overspeed_m_per_s_v25,max_overspeed_km_per_h_v25,nuplan_speed_compliance_v25,min_ttc_v25,average_ttc_v25,ttc_within_bound_v25,nuplan_aggregate_score_v25,vmax_aggregate_score_v25,rideflux_aggregate_score_v25,d_RideFlux,d_Progress,d_Comfort,d_Collision,d_Overlap,d_OffroadBox,d_Accuracy,V25_PrimaryFailure
0,80,1,0.0,0.8875,0.0,1.0,5.092324,1.0,0.0,78.78019,5.300000000000001,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5340748,1.9226692,0.9622071,5.0,5.0,1.0,0.0,0.0,0.96625006,80,1,0.0,0.8875,0.0,1.0,4.7605586,1.0,0.0,109.32197,7.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.44091225,1.5872841,0.9735085,5.0,5.0,1.0,0.0,0.0,0.96625006,0.0,0.0,0.0,0.0,0.0,0.0,0,PASS
1,58,0,0.0,0.8448276,0.0,1.0,0.9514631,1.0,1.0,39.29812,5.800000000000001,0.0,0.0,0.6600362,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.8965516,1.0,0.0,0.0,0.0,80,1,0.0,1.0,0.0,1.0,7.7795258,1.0,0.0,36.05841,8.0,0.0,0.0,0.5985891,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.71901244,0.71901244,-0.06144709999999998,0.1551724,0.0,0.0,-1.0,1,LOW_PROGRESS
2,80,1,0.0,0.875,0.0,1.0,14.311643,1.0,0.0,64.105225,8.0,0.0,0.0,0.6872841,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.7435989,80,1,0.0,0.7875,0.0,1.0,15.64747,1.0,0.0,88.81569,8.0,0.0,0.0,0.91902506,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.87956756,0.13596866000000007,0.23174096,-0.08750000000000002,0.0,0.0,0.0,0,PASS
3,80,1,0.0,0.725,0.0,1.0,3.3013024,0.0,0.0,54.737183,5.9,0.0,0.0,0.982406,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.9601269,0.8085279,0.9051842,80,1,0.0,0.77500004,0.0,1.0,1.5902333,0.0,0.0,54.80987,5.6000000000000005,0.5,0.0,0.9912472,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.96913975,0.895065,0.926373,0.021188800000000008,0.008841199999999994,0.05000004000000002,0.0,0.0,0.0,0,PASS
4,80,1,0.0,0.8875,0.0,1.0,11.689429,1.0,0.0,94.40471,5.4,0.5,0.0,0.8006291,1.0,0.0,0.0,0.0,0.0,0.01966858,0.07080688,0.99988836,5.0,5.0,1.0,0.0,0.0,0.8266903,80,1,0.0,0.8875,0.0,1.0,3.995796,1.0,0.0,155.25482,8.0,0.0,0.0,0.9502906,1.0,0.0,0.0,0.0,0.0,0.0905571,0.32600555,0.99917066,5.0,5.0,1.0,0.0,0.0,0.9314534,0.1047631,0.1496615,0.0,0.0,0.0,0.0,0,PASS
5,80,1,0.0,1.0,0.0,1.0,0.087601535,0.0,0.0,0.0,0.0,1.0,0.0,0.9989648,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.99967647,0.99972755,0.9992754,80,1,0.0,1.0,0.0,1.0,0.78716534,0.0,0.0,0.0,0.0,1.0,0.0,0.9524582,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.7,4.81625,1.0,0.9851432,0.987489,0.96672076,-0.03255464000000008,-0.046506599999999954,0.0,0.0,0.0,0.0,0,PASS
6,80,1,0.0,1.0,0.0,1.0,2.405913,1.0,0.0,15.019285,8.0,0.0,0.0,0.97095114,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.4,4.9837503,1.0,0.0,0.0,0.97966576,80,1,0.0,1.0,0.0,1.0,1.3745779,1.0,0.0,11.428114,8.0,0.0,0.0,0.8606886,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.1,4.96,1.0,0.0,0.0,0.90248203,-0.07718373,-0.11026254000000002,0.0,0.0,0.0,0.0,0,PASS
7,80,1,0.0,0.7375,0.0,1.0,10.466361,0.0,0.0,57.810722,5.1000000000000005,0.5,0.0,0.79929036,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.9044658,0.84060276,0.7807533,80,1,0.0,0.77500004,0.0,1.0,2.8496122,1.0,0.0,98.42628,7.5,0.0,0.0,0.9502811,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.8976968,0.11694349999999998,0.15099074,0.03750003999999996,0.0,0.0,0.0,0,PASS
8,80,1,0.0,1.0,0.0,1.0,1.08064,1.0,0.0,62.28397,7.800000000000001,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.8,4.99625,1.0,0.0,0.0,1.0,80,1,0.0,1.0,0.0,1.0,2.3691938,1.0,0.0,55.092613,8.0,0.0,0.0,0.8882003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.9217402,-0.07825979999999999,-0.11179969999999995,0.0,0.0,0.0,0.0,0,PASS
9,80,1,0.0,0.925,0.0,1.0,3.7689626,1.0,0.0,47.11403,8.0,0.0,0.0,0.99999994,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.97749996,80,1,0.0,1.0,0.0,1.0,4.800612,1.0,0.0,14.056112,3.4000000000000004,0.5,0.0,0.65084845,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.75559396,-0.22190599999999994,-0.34915149,0.07499999999999996,0.0,0.0,0.0,0,LOW_PROGRESS
