Checkpoint,RideFlux,Progress,Comfort,Collision,Overlap,OffroadBox,Accuracy
0.003M,0.11297538333333333,0.32977621962505205,0.8237510411979168,0.17838541666666666,0.1875,0.6809895833333334,0.1328125
0.259M,0.64644951984375,0.8889772399551431,0.8206355546354166,0.08854166666666667,0.11067708333333333,0.19921875,0.6901041666666666
0.515M,0.7422677105729166,0.8435767133681119,0.698929041641927,0.07552083333333333,0.09895833333333333,0.020833333333333332,0.8802083333333334
0.771M,0.7667220457942708,0.8523668706005078,0.777670052528646,0.05078125,0.0859375,0.01171875,0.90234375
1.027M,0.8173165380078125,0.8627555220008333,0.878822443203125,0.052083333333333336,0.07291666666666667,0.0078125,0.9192708333333334
1.283M,0.7332060209895833,0.8179412361495574,0.7493317396992186,0.057291666666666664,0.08723958333333333,0.006510416666666667,0.90625
1.539M,0.8219777895833333,0.8944948096492187,0.7972325645833332,0.032552083333333336,0.05078125,0.010416666666666666,0.9388020833333334
1.795M,0.8030661957552084,0.864459864717448,0.8348515866015624,0.05859375,0.07421875,0.016927083333333332,0.9088541666666666
2.051M,0.7879945927343749,0.8414954985643229,0.8412488287239585,0.044270833333333336,0.0625,0.022135416666666668,0.9153645833333334
2.307M,0.76635966109375,0.8228729598833332,0.78110766296875,0.0546875,0.06640625,0.009114583333333334,0.9244791666666666
2.563M,0.7477656549609376,0.8337999927773437,0.6762839980911458,0.052083333333333336,0.0625,0.010416666666666666,0.9270833333333334
2.819M,0.7878220872786459,0.847825098157552,0.7812845542395834,0.059895833333333336,0.078125,0.015625,0.90625
FINAL,0.7512843917708333,0.7992492547929686,0.7980048592656249,0.057291666666666664,0.07421875,0.009114583333333334,0.9166666666666666
