scenario_index,groups
1,LOW_PROGRESS_SAFE
24,LOW_COMFORT_SAFE
29,LOW_COMFORT_SAFE
37,GOOD_BOTH
43,TRADEOFF_BAD
46,GOOD_BOTH
55,GOOD_BOTH
71,GOOD_BOTH
93,GOOD_BOTH
96,LOW_PROGRESS_SAFE
109,GOOD_BOTH
119,TRADEOFF_BAD
123,LOW_COMFORT_SAFE
131,LOW_PROGRESS_SAFE
133,NEW_OVERLAP
142,GOOD_BOTH|LOW_COMFORT_SAFE
145,LOW_PROGRESS_SAFE
155,GOOD_BOTH
158,GOOD_BOTH
162,TRADEOFF_BAD
167,TRADEOFF_BAD|LOW_COMFORT_SAFE
183,TRADEOFF_BAD
211,GOOD_BOTH
220,LOW_COMFORT_SAFE
235,GOOD_BOTH
240,GOOD_BOTH
255,GOOD_BOTH
267,TRADEOFF_BAD|LOW_COMFORT_SAFE
279,LOW_PROGRESS_SAFE
287,LOW_COMFORT_SAFE
295,LOW_PROGRESS_SAFE
299,TRADEOFF_BAD
304,LOW_PROGRESS_SAFE
314,GOOD_BOTH
315,TRADEOFF_BAD
344,LOW_PROGRESS_SAFE
347,TRADEOFF_BAD|LOW_COMFORT_SAFE
354,GOOD_BOTH|LOW_COMFORT_SAFE
365,LOW_PROGRESS_SAFE
372,LOW_COMFORT_SAFE
408,LOW_PROGRESS_SAFE
409,LOW_PROGRESS_SAFE
415,LOW_PROGRESS_SAFE
420,TRADEOFF_BAD|LOW_COMFORT_SAFE
421,TRADEOFF_BAD
450,LOW_PROGRESS_SAFE
476,LOW_PROGRESS_SAFE
497,LOW_COMFORT_SAFE
505,LOW_PROGRESS_SAFE
520,TRADEOFF_BAD|LOW_COMFORT_SAFE
522,TRADEOFF_BAD
528,NEW_OVERLAP
533,LOW_PROGRESS_SAFE
538,TRADEOFF_BAD
545,TRADEOFF_BAD
551,TRADEOFF_BAD|LOW_COMFORT_SAFE
558,LOW_PROGRESS_SAFE
565,GOOD_BOTH
568,TRADEOFF_BAD|LOW_COMFORT_SAFE
569,TRADEOFF_BAD|LOW_COMFORT_SAFE
582,TRADEOFF_BAD
631,LOW_PROGRESS_SAFE
646,GOOD_BOTH
650,GOOD_BOTH
665,LOW_PROGRESS_SAFE
691,TRADEOFF_BAD
694,LOW_PROGRESS_SAFE
705,NEW_OVERLAP
719,TRADEOFF_BAD
769,TRADEOFF_BAD
774,TRADEOFF_BAD
782,LOW_COMFORT_SAFE
797,LOW_PROGRESS_SAFE
801,LOW_PROGRESS_SAFE
808,LOW_PROGRESS_SAFE
813,GOOD_BOTH
828,NEW_OVERLAP
832,LOW_PROGRESS_SAFE
838,GOOD_BOTH
842,LOW_PROGRESS_SAFE
845,TRADEOFF_BAD
851,NEW_OVERLAP
852,LOW_PROGRESS_SAFE
853,GOOD_BOTH
858,LOW_PROGRESS_SAFE
860,GOOD_BOTH
865,TRADEOFF_BAD
877,TRADEOFF_BAD
882,LOW_PROGRESS_SAFE
892,LOW_COMFORT_SAFE
898,LOW_COMFORT_SAFE
916,NEW_OVERLAP
929,NEW_OVERLAP
940,NEW_OVERLAP
947,TRADEOFF_BAD
964,TRADEOFF_BAD
980,GOOD_BOTH|LOW_COMFORT_SAFE
1000,LOW_COMFORT_SAFE
1002,LOW_COMFORT_SAFE
1014,GOOD_BOTH
1032,GOOD_BOTH
1039,LOW_PROGRESS_SAFE
1046,TRADEOFF_BAD|LOW_COMFORT_SAFE
1070,LOW_COMFORT_SAFE
1080,GOOD_BOTH
1083,TRADEOFF_BAD|LOW_COMFORT_SAFE
1084,GOOD_BOTH
1095,GOOD_BOTH
1120,TRADEOFF_BAD
1121,TRADEOFF_BAD|LOW_COMFORT_SAFE
1139,TRADEOFF_BAD|LOW_COMFORT_SAFE
1175,LOW_COMFORT_SAFE
1180,LOW_COMFORT_SAFE
1188,TRADEOFF_BAD
1189,LOW_PROGRESS_SAFE
1211,NEW_OVERLAP
1224,TRADEOFF_BAD
1271,NEW_OVERLAP
1274,TRADEOFF_BAD|LOW_COMFORT_SAFE
1280,GOOD_BOTH
1281,LOW_PROGRESS_SAFE
1294,NEW_OVERLAP
1312,LOW_PROGRESS_SAFE
1313,GOOD_BOTH
1320,LOW_COMFORT_SAFE
1326,GOOD_BOTH
1328,LOW_PROGRESS_SAFE
1349,GOOD_BOTH
1367,TRADEOFF_BAD
1370,LOW_PROGRESS_SAFE
1389,TRADEOFF_BAD|LOW_COMFORT_SAFE
1397,GOOD_BOTH
1411,LOW_COMFORT_SAFE
1424,LOW_COMFORT_SAFE
1428,LOW_PROGRESS_SAFE
1435,LOW_PROGRESS_SAFE
1445,GOOD_BOTH
1448,LOW_PROGRESS_SAFE
1476,LOW_COMFORT_SAFE
1477,LOW_COMFORT_SAFE
1503,LOW_PROGRESS_SAFE
1513,LOW_PROGRESS_SAFE
1517,TRADEOFF_BAD|LOW_COMFORT_SAFE
1518,GOOD_BOTH
1528,TRADEOFF_BAD|LOW_COMFORT_SAFE
1535,NEW_OVERLAP
1544,LOW_PROGRESS_SAFE
1557,LOW_PROGRESS_SAFE
1564,GOOD_BOTH
1565,GOOD_BOTH
1577,LOW_PROGRESS_SAFE
1580,LOW_PROGRESS_SAFE
1588,GOOD_BOTH
1606,GOOD_BOTH
1610,LOW_COMFORT_SAFE
1612,TRADEOFF_BAD|LOW_COMFORT_SAFE
1617,LOW_PROGRESS_SAFE
1620,TRADEOFF_BAD
1621,TRADEOFF_BAD|LOW_COMFORT_SAFE
1635,LOW_PROGRESS_SAFE
1659,GOOD_BOTH
1663,LOW_PROGRESS_SAFE
1669,NEW_OVERLAP
1679,LOW_PROGRESS_SAFE
1680,LOW_PROGRESS_SAFE
1715,TRADEOFF_BAD|LOW_COMFORT_SAFE
1718,GOOD_BOTH
1733,LOW_PROGRESS_SAFE
1747,LOW_PROGRESS_SAFE
1756,LOW_COMFORT_SAFE
1778,LOW_PROGRESS_SAFE
1781,LOW_COMFORT_SAFE
1784,GOOD_BOTH
1800,GOOD_BOTH
1801,GOOD_BOTH
1804,LOW_COMFORT_SAFE
1813,LOW_COMFORT_SAFE
1826,LOW_PROGRESS_SAFE
1827,GOOD_BOTH
1884,TRADEOFF_BAD
1900,GOOD_BOTH
1903,GOOD_BOTH
1910,GOOD_BOTH|LOW_PROGRESS_SAFE
1912,LOW_COMFORT_SAFE
1921,GOOD_BOTH
1934,GOOD_BOTH
1941,TRADEOFF_BAD
1944,NEW_OVERLAP
1968,NEW_OVERLAP
1975,LOW_COMFORT_SAFE
1977,GOOD_BOTH
1999,GOOD_BOTH
2016,NEW_OVERLAP
2027,GOOD_BOTH
2052,LOW_COMFORT_SAFE
2058,LOW_COMFORT_SAFE
2064,LOW_PROGRESS_SAFE
2067,LOW_PROGRESS_SAFE
2070,LOW_PROGRESS_SAFE
2094,LOW_COMFORT_SAFE
2104,LOW_COMFORT_SAFE
2105,LOW_PROGRESS_SAFE
2135,TRADEOFF_BAD
2162,TRADEOFF_BAD|LOW_COMFORT_SAFE
2174,GOOD_BOTH
2228,LOW_PROGRESS_SAFE
2241,TRADEOFF_BAD
2253,TRADEOFF_BAD|LOW_COMFORT_SAFE
2267,LOW_PROGRESS_SAFE
2271,GOOD_BOTH
2276,TRADEOFF_BAD
2278,LOW_PROGRESS_SAFE
2279,LOW_COMFORT_SAFE
2286,TRADEOFF_BAD
2293,NEW_OVERLAP
2299,NEW_OVERLAP
2301,GOOD_BOTH|LOW_PROGRESS_SAFE
2309,TRADEOFF_BAD|LOW_COMFORT_SAFE
2310,LOW_PROGRESS_SAFE
2312,GOOD_BOTH
2315,LOW_PROGRESS_SAFE
2318,GOOD_BOTH
2322,LOW_COMFORT_SAFE
2342,GOOD_BOTH|LOW_COMFORT_SAFE
2346,TRADEOFF_BAD|LOW_COMFORT_SAFE
2350,GOOD_BOTH
2352,LOW_PROGRESS_SAFE
2359,GOOD_BOTH
2370,GOOD_BOTH
2375,LOW_PROGRESS_SAFE
2377,LOW_PROGRESS_SAFE
2388,TRADEOFF_BAD
2390,TRADEOFF_BAD
2404,LOW_PROGRESS_SAFE
2406,LOW_COMFORT_SAFE
2417,GOOD_BOTH
2473,TRADEOFF_BAD
2479,LOW_PROGRESS_SAFE
2502,GOOD_BOTH
2508,GOOD_BOTH
2533,GOOD_BOTH
2557,TRADEOFF_BAD
