scenario_index,rideflux_aggregate_score_v25,progress_ratio_v25,comfort_v25,at_fault_collision_v25,overlap_v25,offroad_in_box_v25,accuracy_v25,V25_PrimaryFailure
13,0.0,1.0,0.0,1.0,1.0,0.0,0,OVERLAP+AT_FAULT
3036,0.0,1.0,0.0,1.0,1.0,0.0,0,OVERLAP+AT_FAULT
2299,0.0,0.012711591,0.0,1.0,1.0,0.0,0,OVERLAP+AT_FAULT
1150,0.0,1.0,0.0,1.0,1.0,0.0,0,OVERLAP+AT_FAULT
1968,0.0,0.8287273,0.65333337,1.0,1.0,0.0,0,OVERLAP+AT_FAULT
77,0.0,0.5745486,0.625,0.0,0.0,1.0,0,OFFROAD
74,0.0,1.0,1.0,1.0,1.0,0.0,0,OVERLAP+AT_FAULT
3014,0.0,1.0,0.0,1.0,1.0,0.0,0,OVERLAP+AT_FAULT
1271,0.0,0.37412223,0.48076925,1.0,1.0,0.0,0,OVERLAP+AT_FAULT
528,0.0,1.0,1.0,1.0,1.0,0.0,0,OVERLAP+AT_FAULT
1402,0.0,1.0,0.0,1.0,1.0,0.0,0,OVERLAP+AT_FAULT
851,0.0,1.0,0.9350649,1.0,1.0,0.0,0,OVERLAP+AT_FAULT
1097,0.0,0.6846551,0.70000005,0.0,0.0,1.0,0,OFFROAD
2037,0.0,1.0,1.0,1.0,1.0,0.0,0,OVERLAP+AT_FAULT
1835,0.0,0.46081167,0.5813953,0.0,0.0,1.0,0,OFFROAD
1272,0.0,1.0,1.0,1.0,1.0,0.0,0,OVERLAP+AT_FAULT
2623,0.0,0.036324386,0.0,1.0,1.0,0.0,0,OVERLAP+AT_FAULT
2615,0.0,0.043505747,0.45454547,1.0,1.0,0.0,0,OVERLAP+AT_FAULT
459,0.0,0.06995222,0.91549295,1.0,1.0,0.0,0,OVERLAP+AT_FAULT
768,0.0,1.0,1.0,1.0,1.0,0.0,0,OVERLAP+AT_FAULT
2328,0.0,1.0,0.0,1.0,1.0,0.0,0,OVERLAP+AT_FAULT
2327,0.0,0.034621246,0.0,1.0,1.0,0.0,0,OVERLAP+AT_FAULT
2332,0.0,1.0,1.0,2.0,1.0,0.0,0,OVERLAP+AT_FAULT
2335,0.0,0.3331152,0.06451613,0.0,0.0,1.0,0,OFFROAD
2437,0.0,0.835722,0.58441556,0.0,0.0,1.0,0,OFFROAD
705,0.0,0.27878797,1.0,1.0,1.0,0.0,0,OVERLAP+AT_FAULT
112,0.0,1.0,1.0,1.0,1.0,0.0,0,OVERLAP+AT_FAULT
2971,0.0,0.30316186,0.42857143,0.0,0.0,1.0,0,OFFROAD
1118,0.0,0.0,0.86567163,1.0,1.0,0.0,0,OVERLAP+AT_FAULT
2016,0.0,0.016652271,0.0,1.0,1.0,0.0,0,OVERLAP+AT_FAULT
