scenario_index,V25_episode_length,V26_episode_length,V25_collision,V26_collision,V25_overlap,V26_overlap
13,1,1,1.0,1.0,1.0,1.0
31,1,1,1.0,1.0,1.0,1.0
74,8,8,1.0,1.0,1.0,1.0
112,2,2,1.0,1.0,1.0,1.0
140,1,1,1.0,1.0,1.0,1.0
245,80,33,0.0,1.0,0.0,1.0
304,80,67,0.0,1.0,0.0,1.0
313,1,1,1.0,1.0,1.0,1.0
319,1,1,1.0,1.0,1.0,1.0
375,1,1,1.0,1.0,1.0,1.0
614,1,1,1.0,1.0,1.0,1.0
451,1,1,1.0,1.0,1.0,1.0
585,1,1,1.0,1.0,1.0,1.0
528,29,29,1.0,1.0,1.0,1.0
747,1,1,1.0,1.0,1.0,1.0
654,29,29,1.0,1.0,1.0,1.0
644,1,1,1.0,1.0,1.0,1.0
643,80,73,0.0,1.0,0.0,1.0
916,69,69,0.0,1.0,1.0,1.0
1044,1,1,1.0,1.0,1.0,1.0
1272,1,1,1.0,1.0,1.0,1.0
768,1,1,1.0,1.0,1.0,1.0
781,1,1,1.0,1.0,1.0,1.0
887,1,1,1.0,1.0,1.0,1.0
911,1,1,1.0,1.0,1.0,1.0
1402,1,1,1.0,1.0,1.0,1.0
1365,1,1,1.0,1.0,1.0,1.0
1630,1,1,1.0,1.0,1.0,1.0
1623,1,1,1.0,1.0,1.0,1.0
1494,1,1,1.0,1.0,1.0,1.0
1482,26,26,1.0,1.0,1.0,1.0
1451,1,1,1.0,1.0,1.0,1.0
1421,39,39,1.0,1.0,1.0,1.0
2865,1,1,1.0,1.0,1.0,1.0
2905,1,1,1.0,1.0,1.0,1.0
2909,80,33,0.0,1.0,0.0,1.0
2651,7,7,1.0,1.0,1.0,1.0
2686,1,1,1.0,1.0,1.0,1.0
2687,64,64,2.0,2.0,1.0,1.0
1682,75,75,1.0,1.0,1.0,1.0
2295,1,1,1.0,1.0,1.0,1.0
1774,1,1,1.0,1.0,1.0,1.0
1866,8,8,1.0,1.0,1.0,1.0
2037,1,1,1.0,1.0,1.0,1.0
2069,1,1,1.0,1.0,1.0,1.0
2644,80,40,0.0,1.0,0.0,1.0
2513,80,72,0.0,1.0,0.0,1.0
2328,1,1,1.0,1.0,1.0,1.0
3036,1,1,1.0,1.0,1.0,1.0
3034,54,54,1.0,1.0,1.0,1.0
3058,80,60,0.0,1.0,0.0,1.0
3014,1,1,1.0,1.0,1.0,1.0
2756,1,1,1.0,1.0,1.0,1.0
2760,1,1,1.0,1.0,1.0,1.0
1118,67,76,1.0,1.0,1.0,1.0
1584,80,56,0.0,1.0,0.0,1.0
1781,80,80,0.0,1.0,0.0,1.0
359,80,72,0.0,1.0,0.0,1.0
1912,80,28,0.0,1.0,0.0,1.0
