scenario_index,V25_RideFlux,V26_RideFlux,Delta_RideFlux,V25_Progress,V26_Progress,Delta_Progress,V25_Comfort,V26_Comfort,Delta_Comfort,V25_Collision,V26_Collision,Delta_Collision,V25_Overlap,V26_Overlap,Delta_Overlap,V25_OffroadBox,V26_OffroadBox,Delta_OffroadBox,V25_Accuracy,V26_Accuracy,Delta_Accuracy,V25_BasePC,V26_BasePC,Delta_BasePC
0,0.96625006,0.93880177,-0.027448290000000042,1.0,0.91257393,-0.08742607000000002,0.8875,1.0,0.11250000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.9662499999999999,0.938801751,-0.02744824899999998
1,0.71901244,0.93644583,0.21743339000000006,0.5985891,0.9092083,0.3106192,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.71901237,0.9364458099999999,0.21743343999999998
2,0.87956756,0.96250004,0.08293247999999998,0.91902506,1.0,0.08097494000000005,0.7875,0.875,0.08750000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.8795675419999999,0.9624999999999999,0.08293245800000004
3,0.926373,0.9221577,-0.004215300000000033,0.9912472,0.937011,-0.05423619999999996,0.77500004,0.8875,0.11249995999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.926373052,0.9221577,-0.0042153520000000055
4,0.9314534,0.90433913,-0.027114269999999996,0.9502906,0.86334157,-0.08694902999999998,0.8875,1.0,0.11250000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.93145342,0.904339099,-0.027114320999999997
5,0.96672076,0.9243087,-0.042412059999999974,0.9524582,0.89186954,-0.06058866000000007,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.96672074,0.9243086779999998,-0.04241206200000014
6,0.90248203,1.0,0.09751796999999995,0.8606886,1.0,0.13931139999999997,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.9024820199999999,1.0,0.09751798000000012
7,0.8976968,0.90512925,0.007432450000000035,0.9502811,0.91268456,-0.03759654000000001,0.77500004,0.8875,0.11249995999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.8976967819999999,0.905129192,0.007432410000000056
8,0.9217402,0.9819957,0.06025550000000002,0.8882003,0.9742795,0.08607919999999991,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.9217402100000001,0.98199565,0.06025543999999994
9,0.75559396,0.9900718,0.23447783999999994,0.65084845,0.98581684,0.33496839,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.755593915,0.9900717880000001,0.23447787300000011
10,0.8494264,0.94847775,0.09905134999999998,0.86525196,0.9263967,0.06114473999999992,0.8125,1.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.849426372,0.9484776899999998,0.09905131799999978
11,0.91,0.9510218,0.0410218,1.0,0.9621739,-0.037826099999999974,0.7,0.925,0.2250000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.9099999999999999,0.9510217299999999,0.04102172999999998
12,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1.0,1.0,0.0
13,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.7,1.0,0.30000000000000004
14,0.88779336,0.89071554,0.0029221799999999964,0.9629191,0.87602216,-0.08689694000000003,0.71250004,0.925,0.21249996000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.887793382,0.8907155119999999,0.0029221299999998562
15,0.8463532,0.89551336,0.04916016000000001,0.9626474,0.93644756,-0.026199840000000085,0.575,0.8,0.2250000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.8463531799999999,0.895513292,0.049160112000000034
16,1.0,0.92261076,-0.07738924000000003,0.99999994,0.88944393,-0.11055601000000004,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.9999999580000001,0.9226107509999999,-0.07738920700000018
17,0.94,0.92346925,-0.016530749999999927,1.0,0.9388847,-0.061115299999999984,0.8,0.8875,0.08749999999999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.94,0.92346929,-0.01653070999999995
18,0.86347306,0.8843697,0.020896640000000022,0.8049615,0.8348138,0.029852300000000054,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.8634730499999999,0.88436966,0.020896610000000093
19,0.96625006,0.96250004,-0.0037500200000000206,1.0,1.0,0.0,0.8875,0.875,-0.012499999999999956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.9662499999999999,0.9624999999999999,-0.003750000000000031
20,0.8349695,0.8599753,0.025005799999999967,0.8124565,0.79996467,-0.012491829999999982,0.8875,1.0,0.11250000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.83496955,0.859975269,0.025005719000000037
21,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1.0,1.0,0.0
22,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1.0,1.0,0.0
23,0.9487435,0.92121536,-0.027528139999999923,0.9749908,0.88745046,-0.08754034,0.8875,1.0,0.11250000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.9487435599999999,0.9212153219999999,-0.027528238000000038
24,0.82140154,0.0,-0.82140154,0.9859307,0.30786505,-0.6780656500000001,0.4375,0.375,-0.0625,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1,0,-1,0.82140149,0.32800553499999996,-0.493395955
25,0.8618949,0.85245246,-0.009442440000000052,0.8509213,0.78921777,-0.06170352999999995,0.8875,1.0,0.11250000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.86189491,0.8524524389999999,-0.009442471000000063
26,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1.0,1.0,0.0
27,0.869804,0.90893936,0.03913535999999995,0.89436287,0.91812766,0.02376478999999998,0.8125,0.8875,0.07499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.869804009,0.9089393619999999,0.03913535299999993
28,0.85729045,0.8772325,0.019942049999999933,0.8497007,0.8246178,-0.02508290000000002,0.875,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.85729049,0.8772324599999999,0.019941969999999865
29,0.82375,0.94,0.11624999999999996,1.0,1.0,0.0,0.4125,0.8,0.38750000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.82375,0.94,0.11624999999999996
30,0.91206264,0.9297372,0.017674560000000006,0.87437516,0.8996245,0.02524934000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.9120626119999999,0.92973715,0.017674538000000073
31,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.7,1.0,0.30000000000000004
32,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1.0,1.0,0.0
33,0.94750005,1.0,0.05249994999999996,1.0,1.0,0.0,0.825,1.0,0.17500000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.9474999999999999,1.0,0.0525000000000001
34,0.84702504,0.9359539,0.08892886,0.78146434,0.90850556,0.12704122000000007,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.847025038,0.9359538919999999,0.08892885399999995
35,0.81840277,0.9246203,0.10621753,0.8691468,0.9458861,0.07673929999999995,0.7,0.875,0.17500000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.8184027599999999,0.9246202699999999,0.10621751000000001
36,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1.0,1.0,0.0
37,0.8492389,0.930414,0.08117509999999994,0.9614127,0.9863057,0.024892999999999943,0.58750004,0.8,0.21249996000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.849238902,0.9304139899999999,0.08117508799999995
38,0.92211354,1.0,0.07788645999999999,0.92087644,1.0,0.07912355999999998,0.925,1.0,0.07499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.922113508,1.0,0.07788649199999997
39,0.9337244,0.92114496,-0.012579439999999997,0.93746334,0.88734996,-0.050113379999999985,0.925,1.0,0.07499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.933724338,0.921144972,-0.01257936599999998
40,0.87624997,0.8665264,-0.009723570000000015,1.0,0.8575377,-0.14246230000000004,0.58750004,0.8875,0.29999995999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.876250012,0.8665263899999999,-0.009723622000000098
41,0.91819793,0.93081284,0.012614909999999924,0.9367113,0.94937545,0.012664149999999985,0.875,0.8875,0.012499999999999956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.91819791,0.9308128149999999,0.012614904999999954
42,0.90625,0.9384443,0.03219430000000001,0.99999994,0.96563476,-0.034365179999999995,0.6875,0.875,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.9062499580000001,0.938444332,0.032194373999999915
43,0.79870385,0.9124247,0.11372084999999998,0.89993405,0.8748923,-0.025041750000000085,0.5625,1.0,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.798703835,0.91242461,0.113720775
44,0.83180207,0.9120413,0.0802392300000001,0.9097173,0.92255896,0.012841660000000088,0.65000004,0.8875,0.23749995999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.831802122,0.912041272,0.08023914999999993
45,0.88986987,0.8949248,0.005054930000000013,0.8748141,0.8498926,-0.02492150000000004,0.925,1.0,0.07499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.8898698700000001,0.89492482,0.0050549499999998915
46,0.9570548,0.9312382,-0.025816599999999967,0.9386497,0.90176874,-0.036880960000000074,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.9570547899999999,0.931238118,-0.02581667199999993
47,0.8212902,0.87754023,0.05625003000000006,0.87327176,0.87327176,0.0,0.7,0.8875,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.8212902319999998,0.8775402319999999,0.05625000000000002
48,0.96250004,1.0,0.03749996,1.0,1.0,0.0,0.875,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.9624999999999999,1.0,0.03750000000000009
49,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1.0,1.0,0.0
50,0.9403734,0.9313387,-0.009034700000000062,0.96303356,0.90191245,-0.06112110999999998,0.8875,1.0,0.11250000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.9403734919999999,0.9313387149999999,-0.009034776999999994
