Checkpoint,Step,RideFlux,Progress,Comfort,Collision,Overlap,OffroadBox,Accuracy,ResultPath
24322560,24322560.0,0.90799,0.94055,0.94634,0.03255,0.04427,0.0013,0.95443,benchmark/ai/mnt/e/AI_Challenge/datasets/splits/sanity_val_256/sanity_val_256.tfrecord@256/v26_sanity_sweep_alias/v26_sanity_24322560/model_final/evaluation_results.txt
12802560,12802560.0,0.90361,0.95056,0.92067,0.04036,0.05208,0.0,0.94792,benchmark/ai/mnt/e/AI_Challenge/datasets/splits/sanity_val_256/sanity_val_256.tfrecord@256/v26_sanity_sweep_alias/v26_sanity_12802560/model_final/evaluation_results.txt
19970560,19970560.0,0.90163,0.93999,0.9207,0.03646,0.04688,0.0013,0.95182,benchmark/ai/mnt/e/AI_Challenge/datasets/splits/sanity_val_256/sanity_val_256.tfrecord@256/v26_sanity_sweep_alias/v26_sanity_19970560/model_final/evaluation_results.txt
21762560,21762560.0,0.90143,0.95146,0.90111,0.03255,0.04818,0.0,0.95182,benchmark/ai/mnt/e/AI_Challenge/datasets/splits/sanity_val_256/sanity_val_256.tfrecord@256/v26_sanity_sweep_alias/v26_sanity_21762560/model_final/evaluation_results.txt
10498560,10498560.0,0.8983,0.93713,0.94521,0.04297,0.05208,0.0013,0.94661,benchmark/ai/mnt/e/AI_Challenge/datasets/splits/sanity_val_256/sanity_val_256.tfrecord@256/v26_sanity_sweep_alias/v26_sanity_10498560/model_final/evaluation_results.txt
16130560,16130560.0,0.89728,0.92823,0.94065,0.03255,0.05078,0.0,0.94922,benchmark/ai/mnt/e/AI_Challenge/datasets/splits/sanity_val_256/sanity_val_256.tfrecord@256/v26_sanity_sweep_alias/v26_sanity_16130560/model_final/evaluation_results.txt
16898560,16898560.0,0.89241,0.92648,0.93919,0.03776,0.05339,0.0013,0.94531,benchmark/ai/mnt/e/AI_Challenge/datasets/splits/sanity_val_256/sanity_val_256.tfrecord@256/v26_sanity_sweep_alias/v26_sanity_16898560/model_final/evaluation_results.txt
14594560,14594560.0,0.89234,0.92507,0.9526,0.04167,0.05208,0.0026,0.94531,benchmark/ai/mnt/e/AI_Challenge/datasets/splits/sanity_val_256/sanity_val_256.tfrecord@256/v26_sanity_sweep_alias/v26_sanity_14594560/model_final/evaluation_results.txt
21506560,21506560.0,0.88784,0.92648,0.93455,0.03906,0.05078,0.00651,0.94271,benchmark/ai/mnt/e/AI_Challenge/datasets/splits/sanity_val_256/sanity_val_256.tfrecord@256/v26_sanity_sweep_alias/v26_sanity_21506560/model_final/evaluation_results.txt
22786560,22786560.0,0.88657,0.91893,0.93378,0.03776,0.05339,0.0,0.94661,benchmark/ai/mnt/e/AI_Challenge/datasets/splits/sanity_val_256/sanity_val_256.tfrecord@256/v26_sanity_sweep_alias/v26_sanity_22786560/model_final/evaluation_results.txt
