scenario_index,collider_object_index,collision_timestep,episode_time_to_collision_s,metric_overlap,metric_at_fault,rank_m3_0s,rank_m2_0s,rank_m1_0s,rank_m0_5s,dist_m3_0s,dist_m2_0s,dist_m1_0s,dist_m0_5s,top16_fraction_last3s,top16_fraction_last2s,top16_fraction_last1s,continuous_top16_lead_s,first_top16_lead_s
245,8,43,3.3000000000000003,1.0,1.0,,3.0,3.0,2.0,1125.2244873046875,3.527930974960327,3.0758464336395264,2.968296766281128,0.9333333333333333,1.0,1.0,2.8000000000000003,2.8000000000000003
304,1,77,6.7,1.0,1.0,1.0,1.0,1.0,1.0,7.6931633949279785,4.9492998123168945,3.8893840312957764,3.903240203857422,1.0,1.0,1.0,6.7,6.7
359,3,82,7.2,1.0,1.0,,,,1.0,266.46649169921875,266.47235107421875,266.480712890625,3.4081313610076904,0.3,0.45,0.9,0.9,0.9
528,1,39,2.9000000000000004,1.0,1.0,,2.0,2.0,2.0,,3.7811880111694336,4.4294843673706055,4.414167404174805,1.0,1.0,1.0,2.9000000000000004,2.9000000000000004
643,1,83,7.300000000000001,1.0,1.0,17.0,11.0,4.0,1.0,64.919677734375,43.90562438964844,20.93909454345703,9.313572883605957,0.9333333333333333,1.0,1.0,2.8000000000000003,3.9000000000000004
654,3,39,2.9000000000000004,1.0,1.0,,1.0,1.0,1.0,,4.060820579528809,4.102252006530762,4.3604865074157715,0.7931034482758621,1.0,1.0,2.3000000000000003,2.3000000000000003
916,2,79,6.9,1.0,1.0,1.0,1.0,1.0,1.0,4.415882587432861,4.988158226013184,4.998262882232666,4.878939151763916,1.0,1.0,1.0,4.9,4.9
1118,2,86,7.6000000000000005,1.0,1.0,,,,,1721.9854736328125,1721.9814453125,1721.9771728515625,1721.97509765625,0.0,0.0,0.0,0.0,0.0
1421,2,49,3.9000000000000004,1.0,1.0,,,,,664.0236206054688,664.3114624023438,664.6233520507812,664.7224731445312,0.0,0.0,0.0,0.0,0.0
1482,1,36,2.6,1.0,1.0,,1.0,1.0,1.0,,4.890903949737549,4.8176589012146,4.85935640335083,1.0,1.0,1.0,2.6,2.6
1584,1,66,5.6000000000000005,1.0,1.0,1.0,1.0,1.0,1.0,3.2911393642425537,4.3344807624816895,5.439126968383789,5.901303768157959,1.0,1.0,1.0,5.6000000000000005,5.6000000000000005
1682,1,85,7.5,1.0,1.0,,,,1.0,664.7462158203125,664.8574829101562,664.908935546875,1.3654955625534058,0.3,0.45,0.9,0.9,0.9
1781,36,90,8.0,1.0,1.0,,,,,1399.99853515625,1419.9970703125,1441.220947265625,1453.5052490234375,0.03333333333333333,0.05,0.1,0.1,0.1
1912,6,38,2.8000000000000003,1.0,1.0,,,,2.0,,266.6109313964844,266.1055603027344,6.287120819091797,0.17857142857142858,0.25,0.5,0.5,0.5
2513,9,82,7.2,1.0,1.0,3.0,3.0,3.0,3.0,3.8948607444763184,3.4336330890655518,3.418656587600708,3.231252670288086,1.0,1.0,1.0,7.2,7.2
2644,4,50,4.0,1.0,1.0,1.0,1.0,1.0,2.0,3.74647855758667,3.4115962982177734,3.4714202880859375,3.603627920150757,1.0,1.0,1.0,3.2,3.2
2687,2,74,6.4,1.0,2.0,1.0,1.0,1.0,1.0,5.21080207824707,5.122448921203613,5.088718891143799,5.096979141235352,1.0,1.0,1.0,6.4,6.4
2687,3,74,6.4,1.0,2.0,2.0,2.0,2.0,2.0,6.619487762451172,6.720000267028809,6.696331024169922,6.71787691116333,1.0,1.0,1.0,6.4,6.4
2909,13,43,3.3000000000000003,1.0,1.0,2.0,2.0,2.0,2.0,11.691508293151855,11.738465309143066,11.742349624633789,11.757575988769531,1.0,1.0,1.0,3.3000000000000003,3.3000000000000003
3034,1,64,5.4,1.0,1.0,1.0,1.0,1.0,1.0,4.891812801361084,4.868766784667969,4.864017963409424,4.792269706726074,1.0,1.0,1.0,5.4,5.4
3058,9,70,6.0,1.0,1.0,3.0,3.0,3.0,3.0,3.394056797027588,3.1795899868011475,3.0895700454711914,3.1036484241485596,1.0,1.0,1.0,6.0,6.0
