scenario_index,BasePC,progress_ratio,comfort,at_fault_collision,overlap,offroad_in_box,FailureType
13,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
31,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
74,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
112,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
140,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
245,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
304,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
313,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
319,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
375,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
614,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
451,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
585,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
528,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
747,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
654,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
644,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
643,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
916,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
929,1.0,1.0,1.0,0.0,1.0,0.0,OVERLAP_ONLY
1044,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
1272,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
768,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
781,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
887,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
911,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
1402,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
1365,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
1630,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
1623,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
1494,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
1482,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
1451,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
1421,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
2865,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
2905,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
2909,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
2651,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
2686,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
2687,1.0,1.0,1.0,2.0,1.0,0.0,OVERLAP+AT_FAULT
1682,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
1693,1.0,1.0,1.0,0.0,1.0,0.0,OVERLAP_ONLY
2295,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
1774,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
1866,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
2037,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
2069,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
2644,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
2513,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
2328,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
3036,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
3034,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
3058,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
3014,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
2756,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
2760,1.0,1.0,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
2955,0.999999982,1.0,0.99999994,0.0,1.0,0.0,OVERLAP_ONLY
597,0.996851837,0.99550265,0.99999994,0.0,1.0,0.0,OVERLAP_ONLY
387,0.995385285,0.99340755,1.0,0.0,1.0,0.0,OVERLAP_ONLY
1118,0.97654076,0.9664868,1.0,1.0,1.0,0.0,OVERLAP+AT_FAULT
1584,0.9678571599999999,1.0,0.8928572,1.0,1.0,0.0,OVERLAP+AT_FAULT
1327,0.961038928,0.99999994,0.8701299,0.0,1.0,0.0,OVERLAP_ONLY
1781,0.9598608399999999,0.9748012,0.925,1.0,1.0,0.0,OVERLAP+AT_FAULT
359,0.9541666599999999,1.0,0.8472222,1.0,1.0,0.0,OVERLAP+AT_FAULT
1912,0.93571429,1.0,0.7857143,1.0,1.0,0.0,OVERLAP+AT_FAULT
510,0.9194087299999999,0.93032414,0.89393944,0.0,0.0,1.0,OFFROAD
