scenario_index,PrimaryClass
0,PASS
1,PASS
2,PASS
3,PASS
4,PASS
5,PASS
6,PASS
7,PASS
8,PASS
9,PASS
10,PASS
11,PASS
12,PASS
13,OVERLAP+AT_FAULT
14,PASS
15,PASS
16,PASS
17,PASS
18,PASS
19,PASS
20,PASS
21,PASS
22,PASS
23,PASS
24,OVERLAP+AT_FAULT
25,PASS
26,PASS
27,PASS
28,PASS
29,PASS
30,PASS
31,OVERLAP+AT_FAULT
32,PASS
33,PASS
34,PASS
35,PASS
36,PASS
37,PASS
38,PASS
39,PASS
40,PASS
41,PASS
42,PASS
43,PASS
44,PASS
45,PASS
46,PASS
47,PASS
48,PASS
49,PASS
50,PASS
51,PASS
52,PASS
53,PASS
54,PASS
55,PASS
56,PASS
57,PASS
58,PASS
59,PASS
60,PASS
61,PASS
62,PASS
63,PASS
64,PASS
65,PASS
66,PASS
67,PASS
68,PASS
69,PASS
70,PASS
71,PASS
72,PASS
73,PASS
74,OVERLAP+AT_FAULT
75,PASS
76,PASS
77,PASS
78,PASS
79,PASS
80,PASS
81,PASS
82,PASS
83,PASS
84,PASS
85,PASS
86,PASS
87,PASS
88,PASS
89,PASS
90,PASS
91,PASS
92,PASS
93,OFFROAD
94,PASS
95,PASS
96,PASS
97,PASS
98,PASS
99,PASS
100,PASS
101,PASS
102,PASS
103,PASS
104,PASS
105,PASS
106,PASS
107,PASS
108,PASS
109,PASS
110,PASS
111,PASS
112,OVERLAP+AT_FAULT
113,PASS
114,PASS
115,PASS
116,PASS
117,PASS
118,PASS
119,PASS
120,PASS
121,PASS
122,PASS
123,PASS
124,PASS
125,PASS
126,PASS
127,PASS
128,PASS
129,PASS
130,PASS
131,LOW_PROGRESS
132,PASS
133,OVERLAP+AT_FAULT
134,PASS
135,PASS
136,PASS
137,PASS
138,PASS
139,PASS
140,OVERLAP+AT_FAULT
141,PASS
142,PASS
143,PASS
144,PASS
145,PASS
146,PASS
147,PASS
148,PASS
149,PASS
150,PASS
151,PASS
152,PASS
153,PASS
154,PASS
155,PASS
156,PASS
157,PASS
158,OVERLAP+AT_FAULT
159,PASS
160,PASS
161,PASS
162,PASS
163,PASS
164,PASS
165,PASS
166,PASS
167,PASS
168,PASS
169,PASS
170,PASS
171,PASS
172,PASS
173,PASS
174,PASS
175,PASS
176,PASS
177,PASS
178,PASS
179,PASS
180,PASS
181,PASS
182,PASS
183,PASS
184,PASS
185,PASS
186,PASS
187,PASS
188,PASS
189,PASS
190,PASS
191,PASS
192,PASS
193,PASS
194,PASS
195,PASS
196,PASS
197,PASS
198,PASS
199,PASS
200,PASS
201,PASS
202,PASS
203,PASS
204,PASS
205,PASS
206,PASS
207,PASS
208,PASS
209,PASS
210,PASS
211,PASS
212,PASS
213,PASS
214,PASS
215,PASS
216,PASS
217,PASS
218,PASS
219,PASS
220,PASS
221,PASS
222,PASS
223,PASS
224,PASS
225,PASS
226,PASS
227,PASS
228,PASS
229,PASS
230,PASS
231,OVERLAP+AT_FAULT
232,PASS
233,PASS
234,PASS
235,PASS
236,PASS
237,PASS
238,PASS
239,PASS
240,PASS
241,PASS
242,PASS
243,PASS
244,PASS
245,OVERLAP+AT_FAULT
246,PASS
247,PASS
248,PASS
249,PASS
250,PASS
251,PASS
252,PASS
253,PASS
254,PASS
255,PASS
256,PASS
257,PASS
258,PASS
259,PASS
260,PASS
261,PASS
262,PASS
263,PASS
264,PASS
265,PASS
266,PASS
267,PASS
268,PASS
269,PASS
270,PASS
271,PASS
272,PASS
273,PASS
274,PASS
275,PASS
276,PASS
277,PASS
278,PASS
279,PASS
280,PASS
281,PASS
282,PASS
283,PASS
284,PASS
285,PASS
286,PASS
287,PASS
288,PASS
289,PASS
290,PASS
291,PASS
292,PASS
293,PASS
294,PASS
295,PASS
296,PASS
297,PASS
298,PASS
299,PASS
300,PASS
301,PASS
302,PASS
303,PASS
304,OVERLAP+AT_FAULT
305,PASS
306,PASS
307,PASS
308,PASS
309,PASS
310,PASS
311,PASS
312,PASS
313,OVERLAP+AT_FAULT
314,PASS
315,PASS
316,PASS
317,PASS
318,PASS
319,OVERLAP+AT_FAULT
320,PASS
321,PASS
322,PASS
323,PASS
324,PASS
325,PASS
326,PASS
327,PASS
328,PASS
329,PASS
330,PASS
331,PASS
332,PASS
333,PASS
334,PASS
335,PASS
336,PASS
337,PASS
338,PASS
339,PASS
340,PASS
341,PASS
342,PASS
343,PASS
344,LOW_PROGRESS
345,PASS
346,PASS
347,PASS
348,PASS
349,PASS
350,PASS
351,PASS
352,PASS
353,PASS
354,PASS
355,PASS
356,PASS
357,PASS
358,PASS
359,OVERLAP+AT_FAULT
360,PASS
361,PASS
362,PASS
363,PASS
364,PASS
365,PASS
366,PASS
367,PASS
368,PASS
369,OVERLAP+AT_FAULT
370,PASS
371,PASS
372,PASS
373,PASS
374,PASS
375,OVERLAP+AT_FAULT
376,PASS
377,PASS
378,PASS
379,PASS
380,PASS
381,PASS
382,PASS
383,PASS
384,PASS
385,PASS
386,PASS
387,OVERLAP
388,PASS
389,PASS
390,PASS
391,PASS
392,PASS
393,PASS
394,PASS
395,PASS
396,PASS
397,PASS
398,PASS
399,PASS
400,PASS
401,PASS
402,PASS
403,PASS
404,PASS
405,PASS
406,PASS
407,PASS
408,PASS
409,LOW_PROGRESS
410,PASS
411,PASS
412,PASS
413,PASS
414,PASS
415,PASS
416,PASS
417,PASS
418,PASS
419,PASS
420,PASS
421,PASS
422,PASS
423,PASS
424,PASS
425,PASS
426,PASS
427,PASS
428,PASS
429,PASS
430,PASS
431,PASS
432,PASS
433,PASS
434,PASS
435,PASS
436,PASS
437,PASS
438,PASS
439,PASS
440,PASS
441,PASS
442,PASS
443,PASS
444,PASS
445,PASS
446,PASS
447,PASS
448,PASS
449,PASS
450,LOW_PROGRESS
451,OVERLAP+AT_FAULT
452,PASS
453,PASS
454,PASS
455,PASS
456,PASS
457,PASS
458,PASS
459,PASS
460,PASS
461,PASS
462,PASS
463,PASS
464,PASS
465,PASS
466,PASS
467,PASS
468,PASS
469,PASS
470,PASS
471,PASS
472,PASS
473,PASS
474,PASS
475,PASS
476,LOW_PROGRESS
477,PASS
478,PASS
479,PASS
480,PASS
481,PASS
482,PASS
483,PASS
484,PASS
485,PASS
486,PASS
487,PASS
488,PASS
489,PASS
490,PASS
491,PASS
492,PASS
493,PASS
494,PASS
495,PASS
496,PASS
497,PASS
498,PASS
499,PASS
500,PASS
501,PASS
502,PASS
503,PASS
504,PASS
505,PASS
506,PASS
507,PASS
508,PASS
509,PASS
510,OFFROAD
511,PASS
512,PASS
513,PASS
514,PASS
515,PASS
516,PASS
517,PASS
518,PASS
519,PASS
520,LOW_COMFORT
521,PASS
522,PASS
523,PASS
524,PASS
525,PASS
526,PASS
527,PASS
528,OVERLAP+AT_FAULT
529,PASS
530,PASS
531,PASS
532,PASS
533,PASS
534,PASS
535,PASS
536,PASS
537,PASS
538,PASS
539,PASS
540,PASS
541,PASS
542,PASS
543,PASS
544,PASS
545,PASS
546,PASS
547,PASS
548,PASS
549,PASS
550,PASS
551,PASS
552,PASS
553,PASS
554,OVERLAP+AT_FAULT
555,PASS
556,PASS
557,PASS
558,PASS
559,PASS
560,PASS
561,PASS
562,PASS
563,LOW_PROGRESS
564,PASS
565,PASS
566,PASS
567,PASS
568,PASS
569,PASS
570,PASS
571,PASS
572,PASS
573,PASS
574,PASS
575,PASS
576,PASS
577,PASS
578,OVERLAP+AT_FAULT
579,PASS
580,PASS
581,PASS
582,PASS
583,PASS
584,PASS
585,OVERLAP+AT_FAULT
586,PASS
587,PASS
588,PASS
589,PASS
590,PASS
591,PASS
592,PASS
593,PASS
594,PASS
595,PASS
596,PASS
597,OVERLAP
598,PASS
599,PASS
600,PASS
601,PASS
602,PASS
603,PASS
604,PASS
605,PASS
606,PASS
607,PASS
608,PASS
609,PASS
610,PASS
611,PASS
612,PASS
613,PASS
614,OVERLAP+AT_FAULT
615,PASS
616,PASS
617,PASS
618,PASS
619,PASS
620,PASS
621,PASS
622,PASS
623,PASS
624,PASS
625,PASS
626,PASS
627,PASS
628,PASS
629,PASS
630,PASS
631,PASS
632,PASS
633,PASS
634,PASS
635,PASS
636,PASS
637,PASS
638,PASS
639,PASS
640,PASS
641,PASS
642,PASS
643,OVERLAP+AT_FAULT
644,OVERLAP+AT_FAULT
645,PASS
646,PASS
647,PASS
648,PASS
649,PASS
650,PASS
651,PASS
652,PASS
653,PASS
654,OVERLAP+AT_FAULT
655,PASS
656,PASS
657,PASS
658,PASS
659,PASS
660,PASS
661,PASS
662,PASS
663,PASS
664,PASS
665,PASS
666,PASS
667,PASS
668,PASS
669,PASS
670,PASS
671,PASS
672,PASS
673,PASS
674,PASS
675,PASS
676,PASS
677,PASS
678,PASS
679,PASS
680,PASS
681,PASS
682,PASS
683,PASS
684,PASS
685,PASS
686,PASS
687,PASS
688,PASS
689,PASS
690,PASS
691,PASS
692,PASS
693,PASS
694,OFFROAD
695,PASS
696,PASS
697,PASS
698,PASS
699,PASS
700,PASS
701,PASS
702,PASS
703,PASS
704,OVERLAP+AT_FAULT
705,LOW_PROGRESS
706,PASS
707,PASS
708,PASS
709,PASS
710,PASS
711,PASS
712,PASS
713,PASS
714,PASS
715,PASS
716,PASS
717,PASS
718,PASS
719,PASS
720,PASS
721,PASS
722,PASS
723,PASS
724,PASS
