scenario_index,RideFlux,Progress,Comfort,BasePC,Accuracy,Collision,Overlap,OffroadBox,V25_RideFlux,Delta_RideFlux
13,0.0,1.0,1.0,1.0,0,1.0,1.0,0.0,0.0,0.0
31,0.0,1.0,1.0,1.0,0,1.0,1.0,0.0,0.0,0.0
74,0.0,1.0,1.0,1.0,0,1.0,1.0,0.0,0.0,0.0
112,0.0,1.0,1.0,1.0,0,1.0,1.0,0.0,0.0,0.0
140,0.0,1.0,1.0,1.0,0,1.0,1.0,0.0,0.0,0.0
245,0.0,1.0,1.0,1.0,0,1.0,1.0,0.0,1.0,-1.0
304,0.0,1.0,1.0,1.0,0,1.0,1.0,0.0,0.6387492,-0.6387492
313,0.0,1.0,1.0,1.0,0,1.0,1.0,0.0,0.0,0.0
319,0.0,1.0,1.0,1.0,0,1.0,1.0,0.0,0.0,0.0
375,0.0,1.0,1.0,1.0,0,1.0,1.0,0.0,0.0,0.0
451,0.0,1.0,1.0,1.0,0,1.0,1.0,0.0,0.0,0.0
528,0.0,1.0,1.0,1.0,0,1.0,1.0,0.0,0.0,0.0
585,0.0,1.0,1.0,1.0,0,1.0,1.0,0.0,0.0,0.0
614,0.0,1.0,1.0,1.0,0,1.0,1.0,0.0,0.0,0.0
643,0.0,1.0,1.0,1.0,0,1.0,1.0,0.0,0.97375005,-0.97375005
644,0.0,1.0,1.0,1.0,0,1.0,1.0,0.0,0.0,0.0
654,0.0,1.0,1.0,1.0,0,1.0,1.0,0.0,0.0,0.0
747,0.0,1.0,1.0,1.0,0,1.0,1.0,0.0,0.0,0.0
768,0.0,1.0,1.0,1.0,0,1.0,1.0,0.0,0.0,0.0
781,0.0,1.0,1.0,1.0,0,1.0,1.0,0.0,0.0,0.0
887,0.0,1.0,1.0,1.0,0,1.0,1.0,0.0,0.0,0.0
911,0.0,1.0,1.0,1.0,0,1.0,1.0,0.0,0.0,0.0
916,0.0,1.0,1.0,1.0,0,1.0,1.0,0.0,0.0,0.0
929,0.0,1.0,1.0,1.0,0,0.0,1.0,0.0,0.0,0.0
1044,0.0,1.0,1.0,1.0,0,1.0,1.0,0.0,0.0,0.0
1272,0.0,1.0,1.0,1.0,0,1.0,1.0,0.0,0.0,0.0
1365,0.0,1.0,1.0,1.0,0,1.0,1.0,0.0,0.0,0.0
1402,0.0,1.0,1.0,1.0,0,1.0,1.0,0.0,0.0,0.0
1421,0.0,1.0,1.0,1.0,0,1.0,1.0,0.0,0.0,0.0
1451,0.0,1.0,1.0,1.0,0,1.0,1.0,0.0,0.0,0.0
