scenario_index,v26_rf,v27_rf,delta_rf,v26_progress,v27_progress,delta_progress,v26_comfort,v27_comfort,delta_comfort,v26_collision,v27_collision,v26_overlap,v27_overlap,v26_offroad,v27_offroad,v26_accuracy,v27_accuracy
0,0.93880177,1.0,0.06119823000000002,0.91257393,1.0,0.08742607000000002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1,0.93644583,0.93644583,0.0,0.9092083,0.9092083,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2,0.96250004,0.9261152,-0.036384839999999974,1.0,0.95873606,-0.04126394,0.875,0.85,-0.025000000000000022,0.0,0.0,0.0,0.0,0.0,0.0,1,1
3,0.9221577,0.9325,0.010342300000000026,0.937011,1.0,0.06298899999999996,0.8875,0.77500004,-0.11249995999999995,0.0,0.0,0.0,0.0,0.0,0.0,1,1
4,0.90433913,0.92176265,0.017423520000000026,0.86334157,0.8882324,0.02489083000000003,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
5,0.9243087,0.96672076,0.042412059999999974,0.89186954,0.9524582,0.06058866000000007,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
6,1.0,0.9364374,-0.06356260000000002,1.0,0.90919626,-0.09080374000000002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
7,0.90512925,0.91637915,0.011249900000000035,0.91268456,0.91268456,0.0,0.8875,0.925,0.03750000000000009,0.0,0.0,0.0,0.0,0.0,0.0,1,1
8,0.9819957,1.0,0.018004299999999973,0.9742795,1.0,0.025720500000000035,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
9,0.9900718,1.0,0.009928200000000054,0.98581684,0.99999994,0.014183100000000004,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
10,0.94847775,0.94847775,0.0,0.9263967,0.9263967,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
11,0.9510218,0.8944588,-0.05656300000000003,0.9621739,0.88672686,-0.07544704000000002,0.925,0.9125,-0.012500000000000067,0.0,0.0,0.0,0.0,0.0,0.0,1,1
12,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
13,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0
14,0.89071554,0.91321546,0.022499920000000007,0.87602216,0.87602216,0.0,0.925,1.0,0.07499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,1,1
15,0.89551336,0.89528143,-0.0002319299999999913,0.93644756,0.850402,-0.08604555999999997,0.8,1.0,0.19999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,1,1
