checkpoint,step,rideflux_aggregate_score,progress_ratio,comfort,at_fault_collision,overlap,offroad_in_box,accuracy
model_10242560.pkl,10242560,0.83801,0.86358,0.92384,0.03646,0.0612,0.0013,0.9375
model_1026560.pkl,1026560,0.8913,0.95275,0.90706,0.03646,0.04688,0.01302,0.9401
model_10498560.pkl,10498560,0.8825,0.91392,0.93372,0.03646,0.04557,0.00391,0.95052
model_10754560.pkl,10754560,0.87355,0.90083,0.93663,0.03385,0.04818,0.0026,0.94922
model_11010560.pkl,11010560,0.86523,0.89145,0.9458,0.03646,0.05599,0.0,0.94401
model_11266560.pkl,11266560,0.89314,0.93393,0.92477,0.03906,0.04818,0.0026,0.94922
model_11522560.pkl,11522560,0.87795,0.92091,0.91677,0.03906,0.05339,0.0,0.94661
model_11778560.pkl,11778560,0.88535,0.92198,0.92438,0.04036,0.04948,0.0026,0.94792
model_12034560.pkl,12034560,0.8434,0.88862,0.91821,0.05078,0.07161,0.0013,0.92708
model_12290560.pkl,12290560,0.89107,0.91809,0.93947,0.03646,0.04688,0.0,0.95312
model_12546560.pkl,12546560,0.83816,0.86907,0.92635,0.03516,0.05208,0.01172,0.9362
model_12802560.pkl,12802560,0.83023,0.86623,0.89154,0.04036,0.0599,0.0,0.9401
model_1282560.pkl,1282560,0.87229,0.90619,0.9476,0.04167,0.05469,0.00781,0.9375
model_13058560.pkl,13058560,0.89158,0.92697,0.94438,0.03776,0.04688,0.00781,0.94531
model_13314560.pkl,13314560,0.87016,0.90531,0.91131,0.03516,0.04818,0.0013,0.95052
model_13570560.pkl,13570560,0.84962,0.88057,0.9105,0.03385,0.05339,0.0013,0.94531
model_13826560.pkl,13826560,0.85641,0.87765,0.93972,0.03646,0.05078,0.0026,0.94661
model_14082560.pkl,14082560,0.87545,0.90362,0.93516,0.03776,0.04948,0.0,0.95052
model_14338560.pkl,14338560,0.86995,0.89335,0.93132,0.03385,0.04688,0.0013,0.95182
model_14594560.pkl,14594560,0.86079,0.88741,0.93644,0.03646,0.05469,0.0013,0.94401
model_14850560.pkl,14850560,0.85387,0.87806,0.9434,0.03776,0.05469,0.0026,0.94271
model_15106560.pkl,15106560,0.8645,0.89902,0.94075,0.03906,0.05469,0.00521,0.9401
model_15362560.pkl,15362560,0.81312,0.83175,0.91259,0.04036,0.0638,0.0,0.9362
model_1538560.pkl,1538560,0.8432,0.86756,0.92264,0.03776,0.05469,0.00521,0.9401
model_15618560.pkl,15618560,0.8901,0.92619,0.93312,0.04036,0.05208,0.0,0.94792
model_15874560.pkl,15874560,0.84634,0.87756,0.92884,0.04167,0.0612,0.0013,0.9375
model_16130560.pkl,16130560,0.90126,0.94284,0.92492,0.03776,0.04557,0.00391,0.95052
model_16386560.pkl,16386560,0.80905,0.81685,0.92504,0.04036,0.05599,0.0013,0.94271
model_16642560.pkl,16642560,0.90047,0.94046,0.92939,0.03385,0.04688,0.0026,0.95052
model_16898560.pkl,16898560,0.88512,0.91183,0.93857,0.03646,0.04818,0.0013,0.95052
model_17154560.pkl,17154560,0.86429,0.89127,0.92037,0.03125,0.04167,0.00521,0.95312
model_17410560.pkl,17410560,0.84545,0.87258,0.9263,0.04167,0.05469,0.00391,0.94141
model_17666560.pkl,17666560,0.88717,0.92172,0.93226,0.04036,0.04948,0.0,0.95052
model_17922560.pkl,17922560,0.88385,0.91038,0.91942,0.03255,0.04557,0.0,0.95443
model_1794560.pkl,1794560,0.78769,0.82313,0.90473,0.05078,0.07943,0.0026,0.91797
model_18178560.pkl,18178560,0.82064,0.84862,0.90995,0.04427,0.06771,0.0,0.93229
model_18434560.pkl,18434560,0.88442,0.92031,0.93256,0.03385,0.04688,0.00781,0.94531
model_18690560.pkl,18690560,0.87993,0.9126,0.91599,0.03385,0.04557,0.0026,0.95182
