scenario_index,v26_rf,v27_rf,delta_rf,v26_progress,v27_progress,delta_progress,v26_comfort,v27_comfort,delta_comfort,v26_collision,v27_collision,v26_overlap,v27_overlap,v26_offroad,v27_offroad,v26_accuracy,v27_accuracy,v26_basepc,v27_basepc,v26_overlap_fail,v27_overlap_fail,v26_offroad_fail,v27_offroad_fail,v26_collision_fail,v27_collision_fail,v26_zero,v27_zero,new_zero,fixed_zero,persistent_zero,new_overlap,fixed_overlap,new_offroad,fixed_offroad,new_collision,fixed_collision,v27_zero_type,v26_episode_length,v27_episode_length,v26_seconds,v27_seconds
0,0.93880177,1.0,0.06119823,0.91257393,1.0,0.08742607,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.938801751,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1,0.93644583,0.93644583,0.0,0.9092083,0.9092083,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.93644581,0.93644581,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
2,0.96250004,0.9261152,-0.0363848399999999,1.0,0.95873606,-0.04126394,0.875,0.85,-0.025,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.9625,0.926115242,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
3,0.9221577,0.9325,0.0103423,0.937011,1.0,0.0629889999999999,0.8875,0.77500004,-0.1124999599999999,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.9221577,0.932500012,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
4,0.90433913,0.92176265,0.01742352,0.86334157,0.8882324,0.02489083,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.904339099,0.92176268,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
5,0.9243087,0.96672076,0.0424120599999999,0.89186954,0.9524582,0.06058866,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.9243086779999998,0.96672074,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
6,1.0,0.9364374,-0.0635626,1.0,0.90919626,-0.09080374,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,0.936437382,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
7,0.90512925,0.91637915,0.0112499,0.91268456,0.91268456,0.0,0.8875,0.925,0.0375,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.905129192,0.916379192,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
8,0.9819957,1.0,0.0180042999999999,0.9742795,1.0,0.0257205,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.98199565,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
9,0.9900718,1.0,0.0099282,0.98581684,0.99999994,0.0141831,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.990071788,0.999999958,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
10,0.94847775,0.94847775,0.0,0.9263967,0.9263967,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.9484776899999998,0.9484776899999998,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
11,0.9510218,0.8944588,-0.056563,0.9621739,0.88672686,-0.07544704,0.925,0.9125,-0.0125,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.95102173,0.8944588019999999,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
12,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
13,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,1.0,1.0,True,True,False,False,True,True,True,True,False,False,True,False,False,False,False,False,False,OVERLAP+COLLISION,1,1,0.1,0.1
