scenario_index,new_collision,fixed_collision,v27_rf,v27_accuracy,v27_overlap,v27_offroad,v27_collision
0,False,False,0.9475194,1,0.0,0.0,0.0
1,False,False,0.8351375,1,0.0,0.0,0.0
2,False,False,0.8718225,1,0.0,0.0,0.0
3,False,False,0.9325,1,0.0,0.0,0.0
4,False,False,0.92176265,1,0.0,0.0,0.0
5,False,False,0.96672076,1,0.0,0.0,0.0
6,False,False,0.9364374,1,0.0,0.0,0.0
7,False,False,0.91637915,1,0.0,0.0,0.0
8,False,False,0.98812115,1,0.0,0.0,0.0
9,False,False,1.0,1,0.0,0.0,0.0
10,False,False,0.92281336,1,0.0,0.0,0.0
11,False,False,0.8944588,1,0.0,0.0,0.0
12,False,False,1.0,1,0.0,0.0,0.0
13,False,False,0.0,0,1.0,0.0,1.0
14,False,False,0.91321546,1,0.0,0.0,0.0
15,False,False,0.8602582,1,0.0,0.0,0.0
16,False,False,0.948465,1,0.0,0.0,0.0
17,False,False,0.92346925,1,0.0,0.0,0.0
18,False,False,0.81159896,1,0.0,0.0,0.0
19,False,False,0.96250004,1,0.0,0.0,0.0
20,False,False,0.86122,1,0.0,0.0,0.0
21,False,False,1.0,1,0.0,0.0,0.0
22,False,False,1.0,1,0.0,0.0,0.0
23,False,False,0.92997307,1,0.0,0.0,0.0
24,True,False,0.0,0,1.0,0.0,1.0
25,False,False,0.83071405,1,0.0,0.0,0.0
26,False,False,1.0,1,0.0,0.0,0.0
27,False,False,0.9134647,1,0.0,0.0,0.0
28,False,False,0.86841804,1,0.0,0.0,0.0
29,False,False,0.9585236,1,0.0,0.0,0.0
30,False,False,0.9385783,1,0.0,0.0,0.0
31,False,False,0.0,0,1.0,0.0,1.0
32,False,False,1.0,1,0.0,0.0,0.0
33,False,False,1.0,1,0.0,0.0,0.0
34,False,False,0.7985932,1,0.0,0.0,0.0
35,False,False,0.9469034,1,0.0,0.0,0.0
36,False,False,1.0,1,0.0,0.0,0.0
37,False,False,0.90777314,1,0.0,0.0,0.0
38,False,False,0.88269645,1,0.0,0.0,0.0
39,False,False,0.91239434,1,0.0,0.0,0.0
40,False,False,0.8936718,1,0.0,0.0,0.0
41,False,False,0.96250004,1,0.0,0.0,0.0
42,False,False,0.93513197,1,0.0,0.0,0.0
43,False,False,0.84357417,1,0.0,0.0,0.0
