scenario_index,v27_rf,v28_rf,delta_rf,v27_progress,v28_progress,delta_progress,v27_comfort,v28_comfort,delta_comfort,v27_collision,v28_collision,delta_collision,v27_overlap,v28_overlap,delta_overlap,v27_offroad,v28_offroad,delta_offroad,v27_accuracy,v28_accuracy,delta_accuracy
543,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0,1,1
526,0.0,1.0,1.0,1.0,1.0,0.0,0.6363636,1.0,0.36363639999999997,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0,1,1
278,0.0,1.0,1.0,1.0,1.0,0.0,0.8846154,1.0,0.11538459999999995,1.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0,1,1
2611,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0,1,1
643,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0,1,1
1310,0.0,1.0,1.0,0.24377638,0.99999994,0.75622356,0.8888889,1.0,0.11111110000000002,1.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0,1,1
367,0.0,1.0,1.0,1.0,1.0,0.0,0.6515152,1.0,0.34848480000000004,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0,1,1
2909,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0,1,1
1584,0.0,1.0,1.0,0.62354285,1.0,0.37645715,0.7857143,1.0,0.21428570000000002,1.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0,1,1
2876,0.0,1.0,1.0,0.7293345,1.0,0.2706655,0.804878,1.0,0.19512200000000002,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0,1,1
