scenario_index,v27_rf,v28_rf,delta_rf,v27_progress,v28_progress,delta_progress,v27_comfort,v28_comfort,delta_comfort,v27_collision,v28_collision,delta_collision,v27_overlap,v28_overlap,delta_overlap,v27_offroad,v28_offroad,delta_offroad,v27_accuracy,v28_accuracy,delta_accuracy
0,1.0,0.9475194,-0.05248059999999999,1.0,0.9250277,-0.07497229999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
1,0.93644583,0.8351375,-0.10130833000000006,0.9092083,0.7644821,-0.14472619999999992,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
2,0.9261152,0.8718225,-0.05429270000000008,0.95873606,0.8543892,-0.10434686000000004,0.85,0.9125,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
3,0.9325,1.0,0.0675,1.0,1.0,0.0,0.77500004,1.0,0.22499996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
4,0.92176265,0.92176265,0.0,0.8882324,0.8882324,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
5,0.96672076,0.96672076,0.0,0.9524582,0.9524582,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
6,0.9364374,1.0,0.06356260000000002,0.90919626,1.0,0.09080374000000002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
7,0.91637915,0.9485176,0.03213844999999993,0.91268456,0.92645377,0.013769209999999976,0.925,1.0,0.07499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
8,1.0,0.98812115,-0.011878849999999996,1.0,0.9830302,-0.016969800000000035,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
9,1.0,1.0,0.0,0.99999994,0.99999994,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
10,0.94847775,0.92281336,-0.02566438999999998,0.9263967,0.8897333,-0.03666340000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
11,0.8944588,0.9119234,0.017464600000000052,0.88672686,0.87417626,-0.012550599999999967,0.9125,1.0,0.08750000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
12,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
13,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0
14,0.91321546,0.9219567,0.008741239999999983,0.87602216,0.88850963,0.012487470000000056,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
15,0.89528143,0.8602582,-0.03502323000000007,0.850402,0.8753689,0.024966900000000014,1.0,0.825,-0.17500000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
16,0.9570495,0.948465,-0.008584499999999995,0.9386421,0.9263784,-0.012263699999999988,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
17,0.92346925,0.9609175,0.03744824999999996,0.9388847,0.97631073,0.03742603,0.8875,0.925,0.03750000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
18,0.92616236,0.81159896,-0.11456339999999998,0.8945177,0.7308557,-0.16366199999999997,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
19,0.96250004,0.96625006,0.0037500200000000206,1.0,1.0,0.0,0.875,0.8875,0.012499999999999956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
20,0.86122,0.8862443,0.0250243,0.8499571,0.83749187,-0.012465229999999994,0.8875,1.0,0.11250000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
21,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
22,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
23,0.92997307,0.947483,0.017509930000000007,0.8999615,0.92497563,0.02501413000000008,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
24,0.925,0.0,-0.925,1.0,0.30786505,-0.69213495,0.75,0.75,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1,0,-1
25,0.83071405,0.92169714,0.09098309000000004,0.8385201,0.8881388,0.049618700000000016,0.8125,1.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
26,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
27,0.9134647,0.93439335,0.020928649999999993,0.9299496,0.9062762,-0.023673400000000067,0.875,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
28,0.86841804,0.92112046,0.05270242000000003,0.8120257,0.887315,0.0752893,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
29,0.96985954,0.9585236,-0.011335939999999933,0.9890849,0.940748,-0.048336900000000016,0.925,1.0,0.07499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
30,0.9385783,0.9649927,0.02641440000000006,0.91225475,0.9499896,0.037734849999999986,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
31,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0
32,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
33,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
34,0.97468853,0.7985932,-0.17609533,0.96384066,0.71227604,-0.25156462,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
