scenario_index,v27_rf,v28_rf,delta_rf,v27_progress,v28_progress,delta_progress,v27_comfort,v28_comfort,delta_comfort,v27_collision,v28_collision,delta_collision,v27_overlap,v28_overlap,delta_overlap,v27_offroad,v28_offroad,delta_offroad,v27_accuracy,v28_accuracy,delta_accuracy
2747,1.0,0.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,-1
510,1.0,0.0,-1.0,1.0,0.92340404,-0.07659596000000002,1.0,0.7916667,-0.20833330000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,-1
2534,1.0,0.0,-1.0,1.0,0.74087197,-0.25912802999999995,1.0,0.99999994,-5.999999996841865e-08,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1,0,-1
2139,1.0,0.0,-1.0,1.0,0.16545564,-0.83454436,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1,0,-1
2468,1.0,0.0,-1.0,0.99999994,0.37568933,-0.62431061,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,-1
1424,1.0,0.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,-1
727,1.0,0.0,-1.0,1.0,0.55494887,-0.44505112999999996,1.0,0.9433962,-0.05660379999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,-1
2279,1.0,0.0,-1.0,1.0,0.86095554,-0.13904446000000004,1.0,0.62903225,-0.37096775000000004,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,0,-1
929,1.0,0.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,0,-1
1124,1.0,0.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1,0,-1
2922,0.99140614,0.0,-0.99140614,0.98772305,0.27252427,-0.71519878,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1,0,-1
1237,0.9829931,0.0,-0.9829931,0.9757044,0.9757044,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1,0,-1
2415,0.98292905,0.0,-0.98292905,0.9756129,0.81267124,-0.16294166,1.0,0.88,-0.12,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1,0,-1
