scenario_index,group,reference_step,reference_seconds,window_s,window_steps,mean_accel,min_accel,mean_brake,max_brake,brake_impulse,throttle_impulse,mean_abs_steer,max_abs_steer,steer_effort,steer_persistence,steer_sign_flips,steer_total_variation,steer_variation_ratio,accel_total_variation,mean_abs_delta_steer,max_abs_delta_steer,mean_abs_delta_accel,max_abs_delta_accel
0,SAFE,78,7.800000000000001,3.0,30,-0.05891991021732489,-0.08466847240924835,0.05891991021732489,0.08466847240924835,0.1767597306519747,0.0,0.01633418364605556,0.04332829266786575,0.04900255093816668,0.2791642435789767,2,0.26877988292835653,0.5485018071457042,0.1581876054406166,0.009268271825115743,0.029871847480535507,0.005454745015193676,0.018180057406425476
0,SAFE,78,7.800000000000001,2.0,20,-0.05249667018651962,-0.07794815301895142,0.05249667018651962,0.07794815301895142,0.10499334037303926,0.0,0.01488621294265613,0.026084575802087784,0.02977242588531226,0.18642634438157885,1,0.15326439391355962,0.514786364255613,0.10497298091650009,0.008066547048082085,0.02491722349077463,0.005524893732447373,0.015083907172083855
0,SAFE,78,7.800000000000001,1.0,10,-0.03863765150308609,-0.05417322739958763,0.03863765150308609,0.05417322739958763,0.038637651503086096,0.0,0.014727277553174645,0.026084575802087784,0.014727277553174645,0.6046109540136254,1,0.08101731981150806,0.5501173860396888,0.06084814295172691,0.009001924423500896,0.02491722349077463,0.006760904772414101,0.015083907172083855
0,SAFE,78,7.800000000000001,0.5,5,-0.03950064592063427,-0.05417322739958763,0.03950064592063427,0.05417322739958763,0.019750322960317136,0.0,0.02053647618740797,0.026084575802087784,0.010268238093703986,0.9999999026123184,0,0.019896176643669605,0.19376425170961428,0.03570275940001011,0.004974044160917401,0.007028879597783089,0.008925689850002527,0.015083907172083855
24,FIXED_COLLISION,24,2.4000000000000004,2.0,20,-0.011992814345285296,-0.05230254679918289,0.024626745330169796,0.05230254679918289,0.0492534906603396,0.025267861969769004,0.1017287664115429,0.1837262213230133,0.2034575328230858,0.37988064626493145,1,0.520880363881588,0.2560142915791527,0.1906508430838585,0.02741475599376779,0.09611696004867554,0.010034254899150446,0.02718984615057707
24,FIXED_COLLISION,24,2.4000000000000004,1.0,10,0.01194428326562047,-0.05230254679918289,0.01332357870414853,0.05230254679918289,0.013323578704148532,0.025267861969769004,0.12128598466515542,0.1837262213230133,0.12128598466515542,0.9999999917550244,0,0.18524930626153946,0.15273760216037907,0.13023202121257782,0.020583256251282163,0.07379056513309479,0.014470224579175314,0.02718984615057707
24,FIXED_COLLISION,24,2.4000000000000004,0.5,5,0.046741658449172975,0.04087493568658829,0.0,0.0,0.0,0.023370829224586488,0.10598191916942597,0.1837262213230133,0.052990959584712984,0.9999999811288568,0,0.12157892435789108,0.22943332790416443,0.036458007991313934,0.03039473108947277,0.07379056513309479,0.009114501997828484,0.012628331780433655
59,SAFE,56,5.6000000000000005,3.0,30,0.1267986757059892,0.10275750607252121,0.0,0.0,0.0,0.3803960271179676,0.08997287650903066,0.09966348856687546,0.269918629527092,0.9999999962951798,0,0.034856632351875305,0.012913755632135484,0.06362175941467285,0.0012019528397198382,0.003278374671936035,0.0021938537729197533,0.005275949835777283
59,SAFE,56,5.6000000000000005,2.0,20,0.13049955144524575,0.1102055087685585,0.0,0.0,0.0,0.2609991028904915,0.08587514348328114,0.09965213388204575,0.17175028696656228,0.9999999941775934,0,0.03135295212268829,0.018254963350508233,0.03110358864068985,0.0016501553748783312,0.003278374671936035,0.0016370309810889395,0.004034966230392456
59,SAFE,56,5.6000000000000005,1.0,10,0.12418935298919678,0.1102055087685585,0.0,0.0,0.0,0.12418935298919678,0.07934783846139908,0.0856563150882721,0.07934783846139909,0.9999999873972624,0,0.010111033916473389,0.01274267073319895,0.024922452867031097,0.0011234482129414876,0.002515234053134918,0.002769161429670122,0.004034966230392456
59,SAFE,56,5.6000000000000005,0.5,5,0.11698479354381561,0.1102055087685585,0.0,0.0,0.0,0.05849239677190781,0.08116807341575623,0.0856563150882721,0.040584036707878114,0.9999999753597706,0,0.00803762674331665,0.019804896696506858,0.014247976243495941,0.0020094066858291626,0.002515234053134918,0.0035619940608739853,0.004034966230392456
106,SAFE,79,7.9,3.0,30,0.004673593392362818,-0.026152702048420906,0.0035422568248274426,0.026152702048420906,0.010626770474482329,0.024647550651570784,0.03372050993299733,0.06396127492189407,0.10116152979899198,0.9904816427364505,0,0.3006779553834349,0.2972255886290236,0.24814069806598127,0.010368205358049479,0.02732233516871929,0.008556575795378664,0.026275034993886948
106,SAFE,79,7.9,2.0,20,0.000344150306773372,-0.026152702048420906,0.005036647809902206,0.026152702048420906,0.010073295619804412,0.010761596233351156,0.040690042357891795,0.06396127492189407,0.0813800847157836,0.9999999877119814,0,0.18439060263335705,0.22657951390876288,0.14563028165139258,0.00970476855965037,0.02732233516871929,0.007664751665862768,0.026275034993886948
106,SAFE,79,7.9,1.0,10,-0.0075652158644516024,-0.026152702048420906,0.008887033630162477,0.026152702048420906,0.008887033630162479,0.0013218177657108754,0.024270189367234705,0.0482376404106617,0.02427018936723471,0.9999999587971917,0,0.11610178090631962,0.4783719416682433,0.05679967673495412,0.012900197878479958,0.02732233516871929,0.00631107519277268,0.015544907830189914
106,SAFE,79,7.9,0.5,5,-0.016726520843803883,-0.026152702048420906,0.016726520843803883,0.026152702048420906,0.008363260421901941,0.0,0.012885333597660064,0.021223045885562897,0.006442666798830033,0.9999998447847955,0,0.032063860446214676,0.4976798656611997,0.020571449771523476,0.008015965111553669,0.015221117064356804,0.005142862442880869,0.010263150557875633
158,FIXED_COLLISION,10,1.0,1.0,10,-0.12192089110612869,-0.16064278781414032,0.12192089110612869,0.16064278781414032,0.12192089110612869,0.0,0.06059040501713753,0.08855919539928436,0.06059040501713753,0.37087294363810264,1,0.19864477962255478,0.32784856989796307,0.14884310960769653,0.022071642180283863,0.08953670039772987,0.01653812328974406,0.029025457799434662
158,FIXED_COLLISION,10,1.0,0.5,5,-0.11531061679124832,-0.1393229365348816,0.11531061679124832,0.1393229365348816,0.05765530839562416,0.0,0.07113323584198952,0.08855919539928436,0.03556661792099476,0.9999999718837486,0,0.036443714052438736,0.10246606272412988,0.04751390218734741,0.009110928513109684,0.014456670731306076,0.011878475546836853,0.025876440107822418
163,SAFE,18,1.8,1.0,10,0.027548274770379067,0.022226829081773758,0.0,0.0,0.0,0.027548274770379067,0.08075700551271439,0.08972444385290146,0.08075700551271439,0.9999999876171735,0,0.014988772571086884,0.01856033701388752,0.01658334955573082,0.0016654191745652093,0.004103302955627441,0.0018425943950812023,0.004344459623098373
163,SAFE,18,1.8,0.5,5,0.030465107783675192,0.02597770281136036,0.0,0.0,0.0,0.015232553891837598,0.08503332883119583,0.08972444385290146,0.04251666441559792,0.9999999764798112,0,0.008580386638641357,0.020181231417771315,0.009275441989302635,0.0021450966596603394,0.004103302955627441,0.002318860497325659,0.004344459623098373
207,SAFE,74,7.4,3.0,30,0.027085538697429003,-0.0016043990617617965,0.00010869917459785939,0.0016043990617617965,0.0003260975237935782,0.08158271361608059,0.05005422979593277,0.067558154463768,0.1501626893877983,0.9999999933405562,0,0.048476558178663254,0.03228269156171318,0.12835816701408476,0.001671605454436664,0.008555851876735687,0.004426143690140854,0.014240656048059464
207,SAFE,74,7.4,2.0,20,0.03649784550070763,0.028167346492409706,0.0,0.0,0.0,0.07299569100141526,0.04283124413341284,0.05892379581928253,0.08566248826682568,0.9999999883262789,0,0.03977188095450401,0.046428584197011395,0.0876376535743475,0.0020932568923423163,0.008555851876735687,0.004612508082860394,0.014240656048059464
