scenario_index,v27_rf,v28_rf,delta_rf,v27_progress,v28_progress,delta_progress,v27_comfort,v28_comfort,delta_comfort,v27_collision,v28_collision,delta_collision,v27_overlap,v28_overlap,delta_overlap,v27_offroad,v28_offroad,delta_offroad,v27_accuracy,v28_accuracy,delta_accuracy,v27_zero,v28_zero,fixed_zero,new_zero,persistent_zero,v27_failure_type,v28_failure_type,transition
278,0.0,1.0,1.0,1.0,1.0,0.0,0.8846154,1.0,0.1153845999999999,1.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0,1,1,True,False,True,False,False,OVERLAP+COLLISION,OTHER,FIXED_ZERO
367,0.0,1.0,1.0,1.0,1.0,0.0,0.6515152,1.0,0.3484848,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0,1,1,True,False,True,False,False,OVERLAP_ONLY,OTHER,FIXED_ZERO
526,0.0,1.0,1.0,1.0,1.0,0.0,0.6363636,1.0,0.3636363999999999,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0,1,1,True,False,True,False,False,OVERLAP_ONLY,OTHER,FIXED_ZERO
543,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0,1,1,True,False,True,False,False,OVERLAP_ONLY,OTHER,FIXED_ZERO
563,0.0,0.8687462,0.8687462,0.6862267,0.90356594,0.21733924,0.9508196,0.7875,-0.1633196,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0,1,1,True,False,True,False,False,OVERLAP_ONLY,OTHER,FIXED_ZERO
643,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0,1,1,True,False,True,False,False,OVERLAP+COLLISION,OTHER,FIXED_ZERO
1032,0.0,0.860588,0.860588,0.63944745,0.80083996,0.16139251,0.8928572,1.0,0.1071427999999999,1.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0,1,1,True,False,True,False,False,OVERLAP+COLLISION,OTHER,FIXED_ZERO
1061,0.0,0.91382694,0.91382694,0.5614369,0.8768956,0.3154587,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0,1,1,True,False,True,False,False,OFFROAD_ONLY,OTHER,FIXED_ZERO
1294,0.0,0.9473009,0.9473009,1.0,0.9247155,-0.0752844999999999,0.91139245,1.0,0.0886075499999999,1.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0,1,1,True,False,True,False,False,OVERLAP+COLLISION,OTHER,FIXED_ZERO
1310,0.0,1.0,1.0,0.24377638,0.99999994,0.75622356,0.8888889,1.0,0.1111111,1.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0,1,1,True,False,True,False,False,OVERLAP+COLLISION,OTHER,FIXED_ZERO
1327,0.0,0.9044382,0.9044382,0.99999994,0.92776877,-0.07223117,0.8831169,0.85,-0.0331169,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0,1,1,True,False,True,False,False,OVERLAP_ONLY,OTHER,FIXED_ZERO
1400,0.0,0.95036566,0.95036566,0.99999994,0.9290937,-0.07090624,0.82432437,1.0,0.1756756299999999,1.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0,1,1,True,False,True,False,False,OVERLAP+COLLISION,OTHER,FIXED_ZERO
1584,0.0,1.0,1.0,0.62354285,1.0,0.37645715,0.7857143,1.0,0.2142857,1.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0,1,1,True,False,True,False,False,OVERLAP+COLLISION,OTHER,FIXED_ZERO
1590,0.0,0.89521325,0.89521325,0.5641394,0.8985189,0.3343795,0.64705884,0.8875,0.2404411599999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0,1,1,True,False,True,False,False,OFFROAD_ONLY,OTHER,FIXED_ZERO
1597,0.0,0.7957987,0.7957987,0.13698915,0.7993552,0.66236605,0.0,0.7875,0.7875,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0,1,1,True,False,True,False,False,OFFROAD_ONLY,OTHER,FIXED_ZERO
1610,0.0,0.97749996,0.97749996,0.93678313,1.0,0.0632168699999999,0.9130435,0.925,0.0119565,1.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0,1,1,True,False,True,False,False,OVERLAP+COLLISION,OTHER,FIXED_ZERO
1666,0.0,0.97749996,0.97749996,0.61285865,1.0,0.38714135,1.0,0.925,-0.0749999999999999,1.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0,1,1,True,False,True,False,False,OVERLAP+COLLISION,OTHER,FIXED_ZERO
1685,0.0,0.925,0.925,0.26507458,1.0,0.7349254199999999,0.7619048,0.75,-0.0119048,1.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0,1,1,True,False,True,False,False,OVERLAP+COLLISION,OTHER,FIXED_ZERO
2039,0.0,0.99166864,0.99166864,0.7643517,0.988098,0.2237463,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0,1,1,True,False,True,False,False,OFFROAD_ONLY,OTHER,FIXED_ZERO
2067,0.0,0.9967171,0.9967171,1.0,0.9953102,-0.0046897999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0,1,1,True,False,True,False,False,OFFROAD_ONLY,OTHER,FIXED_ZERO
2296,0.0,0.99625,0.99625,0.90972936,1.0,0.0902706399999999,0.8769231,0.9875,0.1105769,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0,1,1,True,False,True,False,False,OFFROAD_ONLY,OTHER,FIXED_ZERO
2301,0.0,0.5435111,0.5435111,0.31115267,0.34787297,0.0367202999999999,1.0,1.0,0.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0,1,1,True,False,True,False,False,OVERLAP+COLLISION,OTHER,FIXED_ZERO
2307,0.0,1.0,1.0,0.43039915,1.0,0.56960085,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0,1,1,True,False,True,False,False,OFFROAD_ONLY,OTHER,FIXED_ZERO
2321,0.0,0.83875,0.83875,0.5054546,1.0,0.4945454,0.6666667,0.4625,-0.2041666999999999,1.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0,1,1,True,False,True,False,False,OVERLAP+COLLISION,OTHER,FIXED_ZERO
2437,0.0,0.9012484,0.9012484,0.835722,0.9124977,0.0767757,0.7714286,0.875,0.1035713999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0,1,1,True,False,True,False,False,OFFROAD_ONLY,OTHER,FIXED_ZERO
2473,0.0,0.8208147,0.8208147,0.27492577,0.74402094,0.4690951699999999,0.5555556,1.0,0.4444443999999999,1.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0,1,1,True,False,True,False,False,OVERLAP+COLLISION,OTHER,FIXED_ZERO
2611,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0,1,1,True,False,True,False,False,OVERLAP+COLLISION,OTHER,FIXED_ZERO
2623,0.0,0.8642133,0.8642133,0.036324386,0.9024476,0.866123214,0.6666667,0.77500004,0.10833334,1.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0,1,1,True,False,True,False,False,OVERLAP+COLLISION,OTHER,FIXED_ZERO
2667,0.0,0.86594105,0.86594105,0.8711418,0.8084871,-0.0626546999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0,1,1,True,False,True,False,False,OFFROAD_ONLY,OTHER,FIXED_ZERO
2689,0.0,0.8613557,0.8613557,0.7632365,0.962651,0.1994145,0.53030306,0.625,0.0946969399999999,1.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0,1,1,True,False,True,False,False,OVERLAP+COLLISION,OTHER,FIXED_ZERO
2720,0.0,0.96999997,0.96999997,0.99999994,0.99999994,0.0,0.8857143,0.90000004,0.01428574,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0,1,1,True,False,True,False,False,OFFROAD_ONLY,OTHER,FIXED_ZERO
2876,0.0,1.0,1.0,0.7293345,1.0,0.2706655,0.804878,1.0,0.195122,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0,1,1,True,False,True,False,False,OFFROAD_ONLY,OTHER,FIXED_ZERO
2909,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0,1,1,True,False,True,False,False,OVERLAP+COLLISION,OTHER,FIXED_ZERO
2938,0.0,0.97749996,0.97749996,1.0,1.0,0.0,0.81333333,0.925,0.11166667,1.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0,1,1,True,False,True,False,False,OVERLAP+COLLISION,OTHER,FIXED_ZERO
3001,0.0,0.9223469,0.9223469,0.352336,0.8890669,0.5367309,0.7647059,1.0,0.2352940999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0,1,1,True,False,True,False,False,OFFROAD_ONLY,OTHER,FIXED_ZERO
