scenario_index,v27_rf,v28_rf,delta_rf,v27_progress,v28_progress,v27_comfort,v28_comfort,v27_collision,v28_collision,v27_overlap,v28_overlap,v27_offroad,v28_offroad,v27_failure_type,v28_failure_type
24,0.925,0.0,-0.925,1.0,0.30786505,0.75,0.75,0.0,1.0,0.0,1.0,0.0,0.0,OTHER,OVERLAP+COLLISION
510,1.0,0.0,-1.0,1.0,0.92340404,1.0,0.7916667,0.0,0.0,0.0,0.0,0.0,1.0,OTHER,OFFROAD_ONLY
727,1.0,0.0,-1.0,1.0,0.55494887,1.0,0.9433962,0.0,0.0,0.0,0.0,0.0,1.0,OTHER,OFFROAD_ONLY
929,1.0,0.0,-1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,OTHER,OVERLAP_ONLY
1124,1.0,0.0,-1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,OTHER,OVERLAP+COLLISION
1154,0.91707385,0.0,-0.91707385,0.97260547,0.47058702,0.7875,0.7804878,0.0,0.0,0.0,0.0,0.0,1.0,OTHER,OFFROAD_ONLY
1237,0.9829931,0.0,-0.9829931,0.9757044,0.9757044,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,OTHER,OVERLAP+COLLISION
1424,1.0,0.0,-1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,OTHER,OFFROAD_ONLY
1504,0.86739177,0.0,-0.86739177,0.81055975,0.19726072,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,OTHER,OVERLAP+COLLISION
1799,0.97629577,0.0,-0.97629577,0.9661368,0.66853803,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,OTHER,OVERLAP+COLLISION
1868,0.93437684,0.0,-0.93437684,0.9437525,0.66698396,0.9125,0.890625,0.0,1.0,0.0,1.0,0.0,0.0,OTHER,OVERLAP+COLLISION
2101,0.97749996,0.0,-0.97749996,1.0,0.2584786,0.925,0.25,0.0,1.0,0.0,1.0,0.0,0.0,OTHER,OVERLAP+COLLISION
2139,1.0,0.0,-1.0,1.0,0.16545564,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,OTHER,OVERLAP+COLLISION
2174,0.9005891,0.0,-0.9005891,0.89012724,0.15585098,0.925,0.9444445,0.0,1.0,0.0,1.0,0.0,0.0,OTHER,OVERLAP+COLLISION
2279,1.0,0.0,-1.0,1.0,0.86095554,1.0,0.62903225,0.0,0.0,0.0,1.0,0.0,0.0,OTHER,OVERLAP_ONLY
2403,0.9657731,0.0,-0.9657731,0.9511044,0.66969526,1.0,0.99999994,0.0,0.0,0.0,0.0,0.0,1.0,OTHER,OFFROAD_ONLY
2415,0.98292905,0.0,-0.98292905,0.9756129,0.81267124,1.0,0.88,0.0,1.0,0.0,1.0,0.0,0.0,OTHER,OVERLAP+COLLISION
2468,1.0,0.0,-1.0,0.99999994,0.37568933,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,OTHER,OFFROAD_ONLY
2534,1.0,0.0,-1.0,1.0,0.74087197,1.0,0.99999994,0.0,1.0,0.0,1.0,0.0,0.0,OTHER,OVERLAP+COLLISION
2572,0.895,0.0,-0.895,1.0,0.9464852,0.65000004,0.5081967,0.0,1.0,0.0,1.0,0.0,0.0,OTHER,OVERLAP+COLLISION
2650,0.86504793,0.0,-0.86504793,0.8447113,0.63831186,0.9125,1.0,0.0,0.0,0.0,0.0,0.0,1.0,OTHER,OFFROAD_ONLY
2664,0.9038804,0.0,-0.9038804,0.8626863,0.3373459,1.0,0.79310346,0.0,1.0,0.0,1.0,0.0,0.0,OTHER,OVERLAP+COLLISION
2747,1.0,0.0,-1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,OTHER,OFFROAD_ONLY
2891,0.8858358,0.0,-0.8858358,0.9386941,0.6893954,0.7625,0.6666667,0.0,1.0,0.0,1.0,0.0,0.0,OTHER,OVERLAP+COLLISION
2922,0.99140614,0.0,-0.99140614,0.98772305,0.27252427,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,OTHER,OVERLAP+COLLISION
3037,0.96250004,0.0,-0.96250004,1.0,0.43220326,0.875,1.0,0.0,1.0,0.0,1.0,0.0,0.0,OTHER,OVERLAP+COLLISION
3053,0.95125,0.0,-0.95125,1.0,0.6529744,0.83750004,1.0,0.0,1.0,0.0,1.0,0.0,0.0,OTHER,OVERLAP+COLLISION
