scenario_index,v27_rf,v28_rf,delta_rf,v27_progress,v28_progress,delta_progress,v27_comfort,v28_comfort,delta_comfort,v27_collision,v28_collision,delta_collision,v27_overlap,v28_overlap,delta_overlap,v27_offroad,v28_offroad,delta_offroad,v27_accuracy,v28_accuracy,delta_accuracy,v27_zero,v28_zero,fixed_zero,new_zero,persistent_zero,v27_failure_type,v28_failure_type,transition
13,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,True,True,False,False,True,OVERLAP+COLLISION,OVERLAP+COLLISION,PERSISTENT_ZERO
31,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,True,True,False,False,True,OVERLAP+COLLISION,OVERLAP+COLLISION,PERSISTENT_ZERO
74,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,True,True,False,False,True,OVERLAP+COLLISION,OVERLAP+COLLISION,PERSISTENT_ZERO
112,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,True,True,False,False,True,OVERLAP+COLLISION,OVERLAP+COLLISION,PERSISTENT_ZERO
133,0.0,0.0,0.0,0.11746589,0.11746589,0.0,0.5,1.0,0.5,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,True,True,False,False,True,OVERLAP+COLLISION,OVERLAP+COLLISION,PERSISTENT_ZERO
140,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,True,True,False,False,True,OVERLAP+COLLISION,OVERLAP+COLLISION,PERSISTENT_ZERO
304,0.0,0.0,0.0,0.9373239,0.8611437,-0.0761802,0.99999994,0.99999994,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,True,True,False,False,True,OVERLAP+COLLISION,OVERLAP+COLLISION,PERSISTENT_ZERO
313,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,True,True,False,False,True,OVERLAP+COLLISION,OVERLAP+COLLISION,PERSISTENT_ZERO
319,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,True,True,False,False,True,OVERLAP+COLLISION,OVERLAP+COLLISION,PERSISTENT_ZERO
375,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,True,True,False,False,True,OVERLAP+COLLISION,OVERLAP+COLLISION,PERSISTENT_ZERO
451,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,True,True,False,False,True,OVERLAP+COLLISION,OVERLAP+COLLISION,PERSISTENT_ZERO
554,0.0,0.0,0.0,0.0002336661,2.8612862e-06,-0.0002308048138,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,True,True,False,False,True,OVERLAP+COLLISION,OVERLAP+COLLISION,PERSISTENT_ZERO
585,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,True,True,False,False,True,OVERLAP+COLLISION,OVERLAP+COLLISION,PERSISTENT_ZERO
614,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,True,True,False,False,True,OVERLAP+COLLISION,OVERLAP+COLLISION,PERSISTENT_ZERO
644,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,True,True,False,False,True,OVERLAP+COLLISION,OVERLAP+COLLISION,PERSISTENT_ZERO
