checkpoint,rideflux_aggregate_score,progress_ratio,comfort,at_fault_collision,overlap,offroad_in_box,accuracy
model_2560,0.20480,0.38870,0.99619,0.09115,0.10417,0.67839,0.21875
model_258560,0.56379,0.82374,0.84413,0.10417,0.12240,0.26823,0.61068
model_514560,0.81406,0.88181,0.88270,0.05990,0.08333,0.02865,0.88802
model_770560,0.86860,0.93670,0.86587,0.04167,0.05990,0.01302,0.92708
model_1026560,0.78464,0.85304,0.89356,0.05599,0.07552,0.04818,0.87630
model_1282560,0.87687,0.91364,0.92898,0.03255,0.05469,0.00130,0.94401
model_1538560,0.85432,0.90314,0.95234,0.05469,0.07552,0.00521,0.91927
model_1794560,0.85646,0.89376,0.94488,0.04557,0.06250,0.00391,0.93359
model_2050560,0.89693,0.93387,0.95655,0.04167,0.04688,0.01302,0.94010
model_2306560,0.87725,0.91670,0.91412,0.03516,0.05078,0.00521,0.94401
model_2562560,0.87945,0.91831,0.91967,0.03385,0.04818,0.00651,0.94531
model_2818560,0.85607,0.88516,0.94303,0.03646,0.05990,0.00000,0.94010
model_3074560,0.84766,0.87509,0.94372,0.03646,0.04948,0.01562,0.93490
model_3330560,0.84497,0.86679,0.93429,0.04167,0.05729,0.00260,0.94010
model_3586560,0.84612,0.85329,0.95485,0.03385,0.05208,0.00000,0.94792
model_3842560,0.83472,0.86281,0.93899,0.04557,0.06641,0.00260,0.93099
model_4098560,0.80605,0.83259,0.93682,0.05339,0.07161,0.00260,0.92578
model_4354560,0.86112,0.88451,0.95062,0.02995,0.05078,0.00651,0.94271
model_4610560,0.85243,0.86982,0.94329,0.03646,0.05078,0.00651,0.94271
model_4866560,0.84776,0.87214,0.93224,0.04167,0.05990,0.00130,0.93880
model_5122560,0.78267,0.79353,0.93914,0.05339,0.07552,0.00000,0.92448
model_5378560,0.86162,0.88127,0.94632,0.04036,0.05208,0.00000,0.94792
model_5634560,0.82208,0.83804,0.94066,0.04557,0.06510,0.00130,0.93359
model_5890560,0.82717,0.83339,0.94175,0.03646,0.05208,0.00000,0.94792
model_6146560,0.84111,0.85267,0.94159,0.03516,0.05078,0.00000,0.94922
model_6402560,0.84593,0.86153,0.96708,0.03646,0.06250,0.00260,0.93490
model_6658560,0.83458,0.85131,0.93111,0.03906,0.05208,0.00260,0.94531
model_6914560,0.81715,0.83424,0.95264,0.03516,0.05208,0.01693,0.93099
model_7170560,0.85739,0.87666,0.95851,0.03646,0.05339,0.00521,0.94141
model_7426560,0.89479,0.91569,0.96831,0.03255,0.04167,0.00391,0.95443
model_7682560,0.86310,0.88671,0.92286,0.03385,0.04427,0.00000,0.95573
model_7938560,0.82464,0.86187,0.95429,0.03646,0.04818,0.03516,0.91667
model_8194560,0.84886,0.85688,0.96547,0.03255,0.04818,0.00260,0.94922
model_8450560,0.83626,0.86398,0.93492,0.04427,0.06641,0.00391,0.92969
model_8706560,0.84246,0.85526,0.96268,0.04167,0.05990,0.00260,0.93750
model_8962560,0.86271,0.87920,0.95512,0.03385,0.04948,0.00130,0.94922
model_9218560,0.84173,0.86640,0.92677,0.03906,0.05208,0.00781,0.94010
model_9474560,0.88946,0.91189,0.94946,0.02865,0.04297,0.00000,0.95703
model_9730560,0.81242,0.82581,0.92555,0.04036,0.05990,0.00000,0.94010
model_9986560,0.85471,0.87021,0.95713,0.03646,0.05339,0.00130,0.94531
model_10242560,0.86607,0.88050,0.95664,0.03385,0.05078,0.00000,0.94922
model_10498560,0.88905,0.91633,0.94661,0.03776,0.04948,0.00130,0.94922
model_10754560,0.84209,0.85777,0.94648,0.03516,0.05469,0.00260,0.94271
model_11010560,0.88363,0.90846,0.94874,0.03385,0.04297,0.00391,0.95312
model_11266560,0.83736,0.85537,0.93297,0.04167,0.05469,0.00130,0.94401
model_11522560,0.90484,0.93520,0.94402,0.03255,0.03906,0.00391,0.95703
model_11778560,0.88692,0.90839,0.97350,0.03776,0.05078,0.00130,0.94792
model_12034560,0.86482,0.89251,0.94774,0.04036,0.05599,0.00000,0.94401
model_12290560,0.87040,0.89285,0.94850,0.03516,0.04948,0.00260,0.94792
model_12546560,0.82373,0.84976,0.94260,0.04167,0.06120,0.01432,0.92448
model_12802560,0.86588,0.89360,0.92702,0.02734,0.04557,0.00391,0.95052
model_13058560,0.82536,0.84126,0.93381,0.03776,0.05469,0.00391,0.94141
model_13314560,0.86997,0.90002,0.92649,0.03646,0.04948,0.00000,0.95052
model_13570560,0.83600,0.86479,0.95181,0.04948,0.06771,0.00000,0.93229
model_13826560,0.82565,0.83711,0.95078,0.03776,0.05990,0.00130,0.94010
model_14082560,0.87460,0.89288,0.96459,0.03516,0.05078,0.00130,0.94792
model_14338560,0.84048,0.84941,0.95336,0.03776,0.05339,0.00000,0.94661
model_14594560,0.84542,0.85059,0.95709,0.03255,0.04948,0.00000,0.95052
model_14850560,0.89268,0.93258,0.92176,0.03125,0.04297,0.00651,0.95052
model_15106560,0.89525,0.92978,0.92473,0.02995,0.04167,0.00260,0.95573
model_15362560,0.83911,0.85502,0.94046,0.03776,0.04818,0.00651,0.94531
model_15618560,0.85154,0.87166,0.94303,0.03385,0.05078,0.00260,0.94661
model_15874560,0.88346,0.91177,0.96158,0.03776,0.05078,0.00651,0.94271
model_16130560,0.87321,0.89222,0.95338,0.03516,0.04557,0.00260,0.95182
model_16386560,0.86077,0.88283,0.94595,0.03516,0.05208,0.00391,0.94401
model_16642560,0.85956,0.90319,0.93972,0.03385,0.04688,0.02214,0.93099
model_16898560,0.87240,0.90821,0.92051,0.03776,0.05469,0.00260,0.94271
model_17154560,0.80980,0.82946,0.90536,0.04297,0.06510,0.00130,0.93359
model_17410560,0.86471,0.89625,0.92074,0.03516,0.05078,0.00000,0.94922
model_17666560,0.85953,0.88080,0.94326,0.03255,0.05339,0.00000,0.94661
model_17922560,0.88932,0.90910,0.94280,0.02995,0.04297,0.00000,0.95703
model_18178560,0.87145,0.88824,0.94781,0.03385,0.04688,0.00000,0.95312
model_18434560,0.87980,0.91020,0.94424,0.03516,0.05078,0.00130,0.94792
model_18690560,0.84256,0.86147,0.94900,0.03906,0.05990,0.00130,0.94010
model_18946560,0.86747,0.88064,0.95878,0.03255,0.04818,0.00000,0.95182
model_19202560,0.83910,0.85896,0.95264,0.04036,0.06380,0.00000,0.93620
