checkpoint,rideflux_aggregate_score,progress_ratio,comfort,at_fault_collision,overlap,offroad_in_box,accuracy
model_19970560,0.91315,0.94407,0.96192,0.03776,0.04557,0.0013,0.95312
model_23554560,0.9057,0.92653,0.97199,0.03646,0.04427,0.0,0.95573
model_11522560,0.90484,0.9352,0.94402,0.03255,0.03906,0.00391,0.95703
model_2050560,0.89693,0.93387,0.95655,0.04167,0.04688,0.01302,0.9401
model_15106560,0.89525,0.92978,0.92473,0.02995,0.04167,0.0026,0.95573
model_7426560,0.89479,0.91569,0.96831,0.03255,0.04167,0.00391,0.95443
model_14850560,0.89268,0.93258,0.92176,0.03125,0.04297,0.00651,0.95052
model_21250560,0.8919,0.9108,0.95701,0.03255,0.04297,0.0,0.95703
model_22530560,0.89027,0.91772,0.95345,0.03385,0.04818,0.0,0.95182
model_9474560,0.88946,0.91189,0.94946,0.02865,0.04297,0.0,0.95703
model_23042560,0.88933,0.92041,0.92869,0.03646,0.04557,0.0,0.95443
model_17922560,0.88932,0.9091,0.9428,0.02995,0.04297,0.0,0.95703
model_10498560,0.88905,0.91633,0.94661,0.03776,0.04948,0.0013,0.94922
model_22786560,0.88808,0.92568,0.91098,0.03255,0.04427,0.0,0.95573
model_11778560,0.88692,0.90839,0.9735,0.03776,0.05078,0.0013,0.94792
model_21506560,0.88473,0.90821,0.95008,0.03255,0.04297,0.0026,0.95443
model_11010560,0.88363,0.90846,0.94874,0.03385,0.04297,0.00391,0.95312
model_15874560,0.88346,0.91177,0.96158,0.03776,0.05078,0.00651,0.94271
model_21762560,0.88122,0.90255,0.95765,0.03516,0.04818,0.0026,0.94922
model_20226560,0.88069,0.90164,0.94201,0.03646,0.04688,0.0013,0.95182
model_22018560,0.87988,0.91049,0.94457,0.04036,0.05339,0.0013,0.94531
model_18434560,0.8798,0.9102,0.94424,0.03516,0.05078,0.0013,0.94792
model_2562560,0.87945,0.91831,0.91967,0.03385,0.04818,0.00651,0.94531
model_24834560,0.87789,0.90165,0.94705,0.03385,0.04557,0.0026,0.95182
model_2306560,0.87725,0.9167,0.91412,0.03516,0.05078,0.00521,0.94401
model_1282560,0.87687,0.91364,0.92898,0.03255,0.05469,0.0013,0.94401
model_14082560,0.8746,0.89288,0.96459,0.03516,0.05078,0.0013,0.94792
model_19458560,0.87455,0.89028,0.94948,0.03255,0.04427,0.0,0.95573
model_16130560,0.87321,0.89222,0.95338,0.03516,0.04557,0.0026,0.95182
model_23810560,0.87271,0.89294,0.93746,0.03385,0.04557,0.0,0.95443
model_16898560,0.8724,0.90821,0.92051,0.03776,0.05469,0.0026,0.94271
model_18178560,0.87145,0.88824,0.94781,0.03385,0.04688,0.0,0.95312
