checkpoint,step,rideflux,nuplan,vmax,accuracy,progress,comfort,overlap,offroad
0.003M,2560,0.2048,0.13522,0.115,0.21875,0.38871,0.99619,0.10417,0.67839
0.259M,258560,0.5647,0.19538,0.1745,0.61198,0.82477,0.84547,0.12109,0.26823
0.515M,514560,0.81383,0.28253,0.24049,0.88802,0.88185,0.8818,0.08333,0.02865
0.771M,770560,0.86806,0.26666,0.23257,0.92708,0.93668,0.86467,0.0599,0.01302
1.027M,1026560,0.77992,0.28792,0.2474,0.87109,0.85211,0.89407,0.07682,0.05208
1.283M,1282560,0.87686,0.29404,0.25861,0.94401,0.91363,0.92908,0.05469,0.0013
1.539M,1538560,0.85431,0.29036,0.25397,0.91927,0.90312,0.95237,0.07552,0.00521
1.795M,1794560,0.85642,0.29663,0.25658,0.93359,0.89371,0.94487,0.0625,0.00391
2.051M,2050560,0.8982,0.2858,0.24736,0.94141,0.93455,0.95692,0.04688,0.01172
2.307M,2306560,0.87726,0.28481,0.24549,0.94401,0.9167,0.91415,0.05078,0.00521
2.563M,2562560,0.88059,0.29495,0.2568,0.94661,0.91886,0.91975,0.04818,0.00521
2.819M,2818560,0.85602,0.3002,0.25548,0.9401,0.88518,0.94261,0.0599,0.0
3.075M,3074560,0.849,0.27823,0.24118,0.9362,0.87551,0.94418,0.04948,0.01432
3.331M,3330560,0.84518,0.30126,0.26366,0.9401,0.86678,0.93517,0.05729,0.0026
3.587M,3586560,0.84613,0.30414,0.26146,0.94792,0.85329,0.95488,0.05208,0.0
3.843M,3842560,0.83465,0.29464,0.25604,0.93099,0.86288,0.93859,0.06641,0.0026
4.099M,4098560,0.807,0.29994,0.26379,0.92708,0.83233,0.93643,0.07031,0.0026
4.355M,4354560,0.86249,0.29629,0.25691,0.94401,0.88573,0.95093,0.05208,0.00391
4.611M,4610560,0.85233,0.29435,0.2561,0.94271,0.86982,0.94296,0.05078,0.00651
4.867M,4866560,0.84764,0.28927,0.2473,0.9388,0.8721,0.93206,0.0599,0.0013
5.123M,5122560,0.78266,0.29895,0.26079,0.92448,0.79353,0.93908,0.07552,0.0
5.379M,5378560,0.86161,0.29353,0.25777,0.94792,0.88127,0.94623,0.05208,0.0
5.635M,5634560,0.82196,0.2951,0.25838,0.93359,0.83795,0.94043,0.0651,0.0013
5.891M,5890560,0.82702,0.30342,0.26312,0.94792,0.83313,0.94191,0.05208,0.0
6.147M,6146560,0.84096,0.29401,0.25509,0.94922,0.85271,0.94095,0.05078,0.0
6.403M,6402560,0.84576,0.29918,0.25503,0.9349,0.86151,0.96638,0.0625,0.0026
6.659M,6658560,0.83451,0.29869,0.2577,0.94531,0.85137,0.93073,0.05208,0.0026
6.915M,6914560,0.81719,0.30369,0.26273,0.93099,0.83422,0.95297,0.05208,0.01693
7.171M,7170560,0.85833,0.29923,0.26134,0.94271,0.87643,0.95768,0.05339,0.00391
7.427M,7426560,0.89473,0.29804,0.25971,0.95443,0.91557,0.96836,0.04167,0.00391
7.683M,7682560,0.86337,0.29985,0.25693,0.95573,0.88683,0.92357,0.04427,0.0
7.939M,7938560,0.82687,0.28693,0.24851,0.91927,0.86185,0.95439,0.04818,0.03255
8.195M,8194560,0.84879,0.30596,0.26824,0.94922,0.85688,0.96527,0.04818,0.0026
8.451M,8450560,0.83656,0.30456,0.26181,0.92969,0.86404,0.93588,0.06641,0.00391
8.707M,8706560,0.84246,0.30211,0.26654,0.9375,0.85526,0.96268,0.0599,0.0026
8.963M,8962560,0.86269,0.30133,0.26413,0.94922,0.87929,0.95479,0.04948,0.0013
9.219M,9218560,0.84249,0.29956,0.26336,0.94141,0.86634,0.92691,0.05078,0.00781
9.475M,9474560,0.88941,0.29916,0.26117,0.95703,0.91186,0.94936,0.04297,0.0
9.731M,9730560,0.81258,0.29894,0.25842,0.9401,0.82579,0.92606,0.0599,0.0
9.987M,9986560,0.8546,0.30166,0.26338,0.94531,0.87018,0.95692,0.05339,0.0013
10.243M,10242560,0.86482,0.30029,0.26275,0.94792,0.88018,0.95661,0.05078,0.0013
10.499M,10498560,0.89019,0.29955,0.26202,0.95052,0.91721,0.94776,0.04818,0.0013
10.755M,10754560,0.84093,0.29318,0.24863,0.94141,0.85733,0.94625,0.05599,0.0026
11.011M,11010560,0.88361,0.29725,0.2607,0.95312,0.90851,0.94873,0.04297,0.00391
11.267M,11266560,0.83837,0.30062,0.26169,0.94531,0.85579,0.93291,0.05339,0.0013
11.523M,11522560,0.90592,0.29373,0.2528,0.95833,0.93589,0.94417,0.03906,0.0026
11.779M,11778560,0.88683,0.30273,0.26757,0.94792,0.9084,0.97311,0.05078,0.0013
12.035M,12034560,0.8634,0.29838,0.26289,0.94271,0.89254,0.94723,0.05729,0.0
12.291M,12290560,0.87042,0.29923,0.26247,0.94792,0.89286,0.94847,0.04948,0.0026
12.547M,12546560,0.8238,0.29425,0.259,0.92448,0.84977,0.94264,0.0612,0.01432
