scenario_index,group,reference_step,reference_seconds,lead_s,frame,time_from_start_s,risk_object_index,risk_distance,risk_static_clearance,risk_predicted_clearance,risk_dcpa,risk_tcpa_raw,risk_tcpa_clipped,risk_future_tcpa,risk_approaching,risk_closing_speed,second_object_index,second_distance,second_static_clearance,second_predicted_clearance,second_dcpa,second_future_tcpa,second_approaching,top2_mean_predicted_clearance,second_minus_first_pred_gap,num_pred_conflict_0,num_pred_conflict_1,num_pred_conflict_2,min_future_tcpa_conflict_0,min_future_tcpa_conflict_1,min_future_tcpa_conflict_2
0,SAFE,78,7.800000000000001,3.0,48,4.800000000000001,1,5.925210009899094,-3.3391034120555902,-3.3391034120555902,5.925210009899094,-0.07860796842994185,0.0,5.0,0,-2.7671054282631404,9,66.51126305723182,53.879426455595045,37.5201430592596,50.15197966089637,5.0,0,17.090519823602005,40.859246471315195,1,1,1,5.0,5.0,5.0
0,SAFE,78,7.800000000000001,2.0,58,5.800000000000001,1,18.18249601017151,8.918182588216824,8.918182588216824,18.18249601017151,-1.0013745846692657,0.0,5.0,0,-15.768750657356927,9,62.87794765847511,50.24611105683834,32.9278622041953,45.55969880583207,5.0,0,20.92302239620606,24.009679615978477,0,0,0,5.0,5.0,5.0
0,SAFE,78,7.800000000000001,1.0,68,6.800000000000001,1,32.90788991289899,23.643576490944305,23.643576490944305,32.90788991289899,-2.1207555285547883,0.0,5.0,0,-15.160646782785191,9,59.37513099869281,46.74329439705604,28.693517905313826,41.325354506950596,5.0,0,26.168547198129065,5.0499414143695205,0,0,0,5.0,5.0,5.0
0,SAFE,78,7.800000000000001,0.5,73,7.300000000000001,9,57.642472867096004,45.01063626545923,27.45123619263228,40.08307279426905,16.278207250288965,5.0,5.0,0,3.5171349690861535,1,40.81613987696016,31.551826455005475,31.551826455005475,40.81613987696016,5.0,0,29.501531323818877,4.100590262373196,0,0,0,5.0,5.0,5.0
24,FIXED_COLLISION,24,2.4000000000000004,2.0,4,0.4,15,52.21021764948399,39.85071317342749,-7.2733232946298365,5.086181181426657,2.6784665812053357,2.6784665812053357,2.6784665812053357,1,19.30759028575866,4,4.497932066551668,-5.497894361610003,-5.497894361610003,4.497932066551668,5.0,0,-6.38560882811992,1.7754289330198336,3,4,4,1.7366846699322689,1.7366846699322689,1.7366846699322689
24,FIXED_COLLISION,24,2.4000000000000004,1.0,14,1.4000000000000001,15,32.66185307146986,20.302348595413363,-6.283513146860463,6.075991329196031,1.6566759484901479,1.6566759484901479,1.6566759484901479,1,19.03302439474468,14,32.059602256172646,18.800788447571534,4.01257395372963,17.27138776233074,0.6908801866737178,1,-1.1354695965654162,10.296087100590093,1,1,1,1.6566759484901479,1.6566759484901479,1.6566759484901479
24,FIXED_COLLISION,24,2.4000000000000004,0.5,19,1.9000000000000001,15,22.570964904237965,10.211460428181471,-10.09152928990328,2.267975186153214,1.1462860594326234,1.1462860594326234,1.1462860594326234,1,19.491708975177623,5,38.61305118061963,25.823874254342194,-8.065780130445468,4.723396795831967,5.0,0,-9.078654710174373,2.0257491594578116,2,2,3,1.1462860594326234,1.1462860594326234,0.28294572253555017
59,SAFE,56,5.6000000000000005,3.0,26,2.6,2,4.688596540384686,-0.5555988717746638,-0.5555988717746638,4.688596540384686,-0.19900087873846486,0.0,5.0,0,-0.054541393716231915,9,17.52363584410859,12.422940340561038,9.259314792583815,14.36001029613137,5.0,0,4.351857960404576,9.814913664358478,1,1,1,5.0,5.0,5.0
59,SAFE,56,5.6000000000000005,2.0,36,3.6,2,5.020801600890836,-0.22339381126851343,-0.22339381126851343,5.020801600890836,-1.0502967614683008,0.0,5.0,0,-0.7159533552934911,9,16.595847024817875,11.495151521270323,8.385632347408777,13.486327850956329,5.0,0,4.081119268070132,8.60902615867729,1,1,1,5.0,5.0,5.0
59,SAFE,56,5.6000000000000005,1.0,46,4.6000000000000005,2,6.289334519720134,1.045139107560784,1.045139107560784,6.289334519720134,-1.6722566128673788,0.0,5.0,0,-1.8967910345172667,9,15.438615526622005,10.337920023074453,8.874585085287716,13.97528058883527,2.4563345532210747,1,4.95986209642425,7.829445977726932,0,0,1,5.0,5.0,5.0
59,SAFE,56,5.6000000000000005,0.5,51,5.1000000000000005,2,7.384789139491501,2.140593727332151,2.140593727332151,7.384789139491501,-1.9703991391381361,0.0,5.0,0,-2.506860232173849,4,13.803314015713868,8.576757252364429,8.576757252364429,13.803314015713868,5.0,0,5.35867548984829,6.436163525032278,0,0,0,5.0,5.0,5.0
106,SAFE,79,7.9,3.0,49,4.9,10,10.214280785381447,4.353291457214608,0.7566190758448208,6.61760840401166,10.762367118965932,5.0,5.0,0,0.7720212696233943,1,8.06804188721744,2.0911171791470355,2.0911171791470355,8.06804188721744,5.0,0,1.4238681274959282,1.3344981033022147,0,1,1,5.0,5.0,5.0
106,SAFE,79,7.9,2.0,59,5.9,10,8.62023466920657,2.7592453410397297,0.08495080951384626,5.945940137680686,2.319153296440877,2.319153296440877,2.319153296440877,1,1.9485260150605959,18,9.586445150906275,3.625879582524444,3.625879582524444,9.586445150906275,5.0,0,1.8554151960191452,3.540928773010598,0,1,1,5.0,2.319153296440877,2.319153296440877
106,SAFE,79,7.9,1.0,69,6.9,10,6.759061712402445,0.8980723842356051,0.4180877980826905,6.27907712624953,0.6236295964028319,0.6236295964028319,0.6236295964028319,1,1.4846694179914781,20,18.128648117746952,12.18456669832853,3.9311551401425024,9.875236559560925,3.9213010578128147,1,2.1746214691125965,3.513067342059812,0,1,1,5.0,0.6236295964028319,0.6236295964028319
106,SAFE,79,7.9,0.5,74,7.4,10,6.290797873491366,0.4298085453245264,0.41896694355898045,6.27995627172582,0.08026091459938285,0.08026091459938285,0.08026091459938285,1,0.2699261421650466,20,16.518578484506026,10.574497065087604,3.6404751780309965,9.584556597449419,3.473466930555649,1,2.0297210607949885,3.221508234472016,0,1,1,5.0,0.08026091459938285,0.08026091459938285
158,FIXED_COLLISION,10,1.0,1.0,0,0.0,4,14.764293137258452,6.264022883268428,-1.949223769562602,6.551046484427422,1.1358449626143121,1.1358449626143121,1.1358449626143121,1,10.439396827141755,13,88.75381796385977,82.48305870276612,10.989628589225287,17.260387850318946,3.1150079753186657,1,4.5202024098313425,12.938852358787889,1,1,1,1.1358449626143121,1.1358449626143121,1.1358449626143121
158,FIXED_COLLISION,10,1.0,0.5,5,0.5,4,9.935713920902964,1.4354436669129402,-1.4887345872019386,7.0115356667880855,0.6250087085596057,0.6250087085596057,0.6250087085596057,1,7.980276180486967,11,95.54855294357183,90.31105054457085,9.393820087589944,14.63132248659093,3.4178865816351327,1,3.9525427501940027,10.882554674791884,1,1,1,0.6250087085596057,0.6250087085596057,0.6250087085596057
163,SAFE,18,1.8,1.0,8,0.8,1,6.909066658090183,0.9651300192867298,0.9651300192867298,6.909066658090183,-84.9539895554756,0.0,5.0,0,-0.08129246477028373,4,30.01784445370955,24.145486365505356,2.85767246800863,8.730030556212824,5.0,0,1.91140124364768,1.8925424487219003,0,1,1,5.0,5.0,5.0
163,SAFE,18,1.8,0.5,13,1.3,1,6.95939945962162,1.0154628208181666,1.0154628208181666,6.95939945962162,-44.82936894908791,0.0,5.0,0,-0.15516627583010653,4,27.95040181406468,22.078043725860486,3.781488797835342,9.653846886039537,5.0,0,2.3984758093267544,2.7660259770171756,0,0,1,5.0,5.0,5.0
207,SAFE,74,7.4,3.0,44,4.4,9,38.179802508120105,32.23901264671337,0.555852109378983,6.496641970785718,3.388138374780944,3.388138374780944,3.388138374780944,1,10.94239238860321,15,56.579799636602075,50.77070884212317,1.573006146366403,7.382096940845312,4.705358266380226,1,1.064429127872693,1.01715403698742,0,1,3,5.0,3.388138374780944,2.632793268034465
207,SAFE,74,7.4,2.0,54,5.4,8,54.81567608092647,48.8756919790486,0.36039610349251294,6.300380205370385,5.092738154086837,5.0,5.0,0,10.62482829186313,9,27.525491825156227,21.58470196374949,0.6018630759172261,6.542652937323961,2.4732454716662318,1,0.4811295897048695,0.24146697242471316,0,2,4,5.0,2.4732454716662318,1.5861900710844838
