scenario_index,v27_rf,v28_rf,delta_rf,v27_progress,v28_progress,delta_progress,v27_comfort,v28_comfort,delta_comfort,v27_collision,v28_collision,delta_collision,v27_overlap,v28_overlap,delta_overlap,v27_offroad,v28_offroad,delta_offroad,v27_accuracy,v28_accuracy,delta_accuracy,v27_zero,v28_zero,fixed_zero,new_zero,persistent_zero,v27_failure_type,v28_failure_type,transition
2172,0.9051792,0.28696278,-0.61821642,0.86454177,0.029589694,-0.834952076,1.0,0.8875,-0.1125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,OTHER,OTHER,REGRESSED
1747,0.9707551,0.48679343,-0.4839616699999999,0.99036443,0.30434772,-0.68601671,0.925,0.9125,-0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,OTHER,OTHER,REGRESSED
450,1.0,0.63873386,-0.36126614,1.0,0.48390555,-0.51609445,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,OTHER,OTHER,REGRESSED
2598,0.8070946,0.5577414,-0.2493531999999999,0.7565637,0.368202,-0.3883617,0.925,1.0,0.0749999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,OTHER,OTHER,REGRESSED
1626,0.885927,0.66619223,-0.2197347699999999,0.8370385,0.5231318,-0.3139067,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,OTHER,OTHER,REGRESSED
279,0.91717815,0.70052236,-0.21665579,0.88168305,0.57217485,-0.3095082,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,OTHER,OTHER,REGRESSED
600,1.0,0.8082361,-0.1917639,0.99999994,0.7635516,-0.23644834,1.0,0.9125,-0.0875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,OTHER,OTHER,REGRESSED
160,0.94482386,0.7573564,-0.1874674599999999,0.92117685,0.65336627,-0.26781058,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,OTHER,OTHER,REGRESSED
1577,1.0,0.81659144,-0.18340856,1.0,0.7379877,-0.2620123,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,OTHER,OTHER,REGRESSED
34,0.97468853,0.7985932,-0.17609533,0.96384066,0.71227604,-0.25156462,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,OTHER,OTHER,REGRESSED
2292,0.98723954,0.8206736,-0.16656594,0.9817708,0.77596223,-0.20580857,1.0,0.925,-0.0749999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,OTHER,OTHER,REGRESSED
2433,0.9288702,0.7627868,-0.1660834,0.89838594,0.66112405,-0.2372618900000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,OTHER,OTHER,REGRESSED
2866,0.8892838,0.72445506,-0.1648287399999999,0.8900482,0.63850725,-0.25154095,0.8875,0.925,0.0375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,OTHER,OTHER,REGRESSED
683,0.9461261,0.7817514,-0.1643746999999999,0.92303723,0.72035915,-0.2026780800000001,1.0,0.925,-0.0749999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,OTHER,OTHER,REGRESSED
2960,1.0,0.83867306,-0.16132694,1.0,0.7695329,-0.2304671,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,OTHER,OTHER,REGRESSED
1920,1.0,0.84148616,-0.15851384,0.99999994,0.7735517,-0.22644824,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,OTHER,OTHER,REGRESSED
2586,0.98161376,0.8277386,-0.15387516,0.97373396,0.7539122,-0.2198217599999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,OTHER,OTHER,REGRESSED
409,0.7521148,0.5993436,-0.1527712,0.6780211,0.4276337,-0.2503874,0.925,1.0,0.0749999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,OTHER,OTHER,REGRESSED
2886,0.8753153,0.7246651,-0.1506502,0.85402185,0.60666436,-0.2473574899999999,0.925,1.0,0.0749999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,OTHER,OTHER,REGRESSED
707,0.8988792,0.7505854,-0.1482938,0.88768446,0.6436934,-0.24399106,0.925,1.0,0.0749999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,OTHER,OTHER,REGRESSED
2722,1.0,0.8524918,-0.1475081999999999,1.0,0.8749882,-0.1250118,1.0,0.8,-0.1999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,OTHER,OTHER,REGRESSED
