scenario_index,group,reference_step,reference_seconds,lead_s,frame,time_from_start_s,action_accel,action_steer,brake_strength,throttle_strength,abs_steer,delta_accel,delta_steer,abs_delta_accel,abs_delta_steer,accel_change_excess,steer_change_excess,smooth_excess,risk_object_index,risk_distance,risk_static_clearance,risk_predicted_clearance,risk_dcpa,risk_tcpa_raw,risk_tcpa_clipped,risk_future_tcpa,risk_approaching,risk_closing_speed,second_object_index,second_distance,second_static_clearance,second_predicted_clearance,second_dcpa,second_future_tcpa,second_approaching,top2_mean_predicted_clearance,second_minus_first_pred_gap,num_pred_conflict_0,num_pred_conflict_1,num_pred_conflict_2,min_future_tcpa_conflict_0,min_future_tcpa_conflict_1,min_future_tcpa_conflict_2,risk_relative_x,risk_relative_y,risk_relative_vx,risk_relative_vy,risk_closest_x,risk_closest_y
5,SAFE,24,2.4000000000000004,2.0,4,0.4,-0.12120836228132248,0.003974744584411383,0.12120836228132248,0.0,0.003974744584411383,-0.0030471831560134888,0.0035486980923451483,0.0030471831560134888,0.0035486980923451483,0.0,0.0,0.0,2,10.267761003165607,5.051973930534211,0.40627596172787506,5.622063034359271,10.967129246373336,5.0,5.0,0,0.9312173965643967,1,20.305475556909375,15.195735683691604,6.488170608835167,11.597910482052939,5.0,0,3.447223285281521,6.081894647107292,0,1,1,5.0,5.0,5.0,10.240234375,0.7513427734375,-0.933720588684082,-1.3646790364418848e-09,5.57163143157959,0.7513427666141048
5,SAFE,24,2.4000000000000004,1.0,14,1.4000000000000001,-0.06245224550366402,0.008534491993486881,0.06245224550366402,0.0,0.008534491993486881,0.0008512921631336212,0.0007617860101163387,0.0008512921631336212,0.0007617860101163387,0.0,0.0,0.0,2,9.692673755189828,4.476886682558432,2.611811507817187,7.827598580448583,25.809578749425,5.0,5.0,0,0.37328461445071776,1,18.21132747293149,13.101587599713719,2.7970115541768976,7.906751427394669,5.0,0,2.7044115309970422,0.18520004635971077,0,0,0,5.0,5.0,5.0,9.6634521484375,0.7520751953125,-0.374413400888443,-3.302076834188483e-09,7.791385143995285,0.7520751788021158
5,SAFE,24,2.4000000000000004,0.5,19,1.9000000000000001,-0.05653414875268936,0.009027883410453796,0.05653414875268936,0.0,0.009027883410453796,0.002028193324804306,-0.00033248309046030045,0.002028193324804306,0.00033248309046030045,0.0,0.0,0.0,1,17.046230790005108,11.936490916787337,0.9396639483277154,6.049403821545487,7.741231858136242,5.0,5.0,0,2.2006229138355216,2,9.535364902749778,4.319577830118383,3.3622151020130078,8.578002174644404,5.0,0,2.1509395251703616,2.4225511536852924,0,1,1,5.0,5.0,5.0,-17.0458984375,0.1064453125,2.2002356350421906,-0.06888887208003025,-6.044720262289047,-0.23799904790015125
24,NEW_COLLISION,24,2.4000000000000004,2.0,4,0.4,-0.08994234353303909,-0.042389459908008575,0.08994234353303909,0.0,0.042389459908008575,-0.0027365460991859436,0.04055090993642807,0.0027365460991859436,0.04055090993642807,0.0,0.010550909936428071,0.010550909936428071,15,52.19864728281942,39.83914280676293,-8.239457330510891,4.120047145545601,2.698282040881507,2.698282040881507,2.698282040881507,1,19.22462164848499,4,4.285346804148897,-5.710479624012773,-5.710479624012773,4.285346804148897,5.0,0,-6.974968477261832,2.528977706498118,4,4,4,1.7401454839475212,1.7401454839475212,1.7401454839475212,52.11126708984375,-3.01904296875,-19.280477285385132,-0.4076976963190475,0.08710149106521925,-4.1191263408364485
24,NEW_COLLISION,24,2.4000000000000004,1.0,14,1.4000000000000001,-0.08630826324224472,0.04089220613241196,0.08630826324224472,0.0,0.04089220613241196,-0.003164716064929962,0.023879531770944595,0.003164716064929962,0.023879531770944595,0.0,0.0,0.0,15,32.59232064001898,20.23281616396249,-10.075525184865645,2.2839792911908474,1.7083593850674543,1.7083593850674543,1.7083593850674543,1,18.98445139794265,14,31.243033974112915,17.984220165511807,1.4336817501822168,14.692495558783326,0.7100135534351001,1,-4.320921717341714,11.509206935047862,1,1,2,1.7083593850674543,1.7083593850674543,0.7100135534351001,32.42657470703125,3.28277587890625,-19.022236347198486,-0.5852848931029158,-0.07024128167653743,2.282898938835682
24,NEW_COLLISION,24,2.4000000000000004,0.5,19,1.9000000000000001,-0.012815906666219234,0.056108295917510986,0.012815906666219234,0.0,0.056108295917510986,0.040380907244980335,0.020459726452827454,0.040380907244980335,0.020459726452827454,0.0,0.0,0.0,15,22.6726813531975,10.313176877141007,-12.295218944559005,0.0642855314974881,1.1933454333681905,1.1933454333681905,1.1933454333681905,1,18.99910825960888,5,38.2414414861037,25.45226455982627,-2.141900319070116,10.647276607207319,4.832231280280671,1,-7.218559631814561,10.15331862548889,2,3,3,1.1933454333681905,0.25618053377978695,0.25618053377978695,22.66229248046875,0.686279296875,-18.99203324317932,-0.5212388176774425,-0.0017636606561595158,0.06426133410538915
60,SAFE,29,2.9000000000000004,2.0,9,0.9,0.05502750724554062,-0.05879034847021103,0.0,0.05502750724554062,0.05879034847021103,-8.852779865264893e-05,-1.771003007888794e-05,8.852779865264893e-05,1.771003007888794e-05,0.0,0.0,0.0,1,5.045458152966193,0.06405715793798628,0.06405715793798628,5.045458152966193,-13.630278424459606,0.0,5.0,0,-0.24266445714011523,4,6.938468321651716,1.7985739525509201,1.7985739525509201,6.938468321651716,5.0,0,0.9313155552444532,1.7345167946129338,0,1,2,5.0,5.0,5.0,-4.0851287841796875,-2.9611434936523438,-0.29970985651016235,-6.688907205898431e-10,-4.0851287841796875,-2.9611434936523438
60,SAFE,29,2.9000000000000004,1.0,19,1.9000000000000001,0.03492310643196106,-0.05702470988035202,0.0,0.03492310643196106,0.05702470988035202,-0.00679195299744606,-8.004531264305115e-05,0.00679195299744606,8.004531264305115e-05,0.0,0.0,0.0,1,5.42375469914792,0.4423537041197134,0.4423537041197134,5.42375469914792,-7.417763357982649,0.0,5.0,0,-0.5080849265319738,4,7.150346441395227,2.010452072294431,2.010452072294431,7.150346441395227,5.0,0,1.226402888207072,1.5680983681747174,0,1,1,5.0,5.0,5.0,-4.521209716796875,-2.995960235595703,-0.6095111966133118,-2.1101556058056303e-08,-4.521209716796875,-2.995960235595703
60,SAFE,29,2.9000000000000004,0.5,24,2.4000000000000004,0.007302980404347181,-0.05946808680891991,0.0,0.007302980404347181,0.05946808680891991,-0.004993522074073553,-0.00036801397800445557,0.004993522074073553,0.00036801397800445557,0.0,0.0,0.0,1,5.709741699843641,0.7283407048154347,0.7283407048154347,5.709741699843641,-7.125679304321156,0.0,5.0,0,-0.5769082297581822,4,7.315229204964784,2.175334835863988,2.175334835863988,7.315229204964784,5.0,0,1.4518377703397114,1.4469941310485535,0,1,1,5.0,5.0,5.0,-4.84478759765625,-3.021453857421875,-0.679905354976654,1.818253636542977e-08,-4.84478759765625,-3.021453857421875
122,SAFE,13,1.3,1.0,3,0.30000000000000004,-0.0012614867882803082,-0.05984603613615036,0.0012614867882803082,0.0,0.05984603613615036,0.00015834695659577847,-0.00032832473516464233,0.00015834695659577847,0.00032832473516464233,0.0,0.0,0.0,3,4.145783434718411,-4.983945763033494,-4.983945763033494,4.145783434718411,0.0,0.0,5.0,0,0.00037616469950414624,13,7.394215609390072,-1.9338264753810464,-1.9338264753810464,7.394215609390072,5.0,0,-3.45888611920727,3.050119287652447,2,3,3,5.0,5.0,5.0,-1.9731554985046387,3.6461181640625,0.0007903570658527315,2.8356709341759156e-12,-1.9731554985046387,3.6461181640625
122,SAFE,13,1.3,0.5,8,0.8,-0.0007797030848450959,-0.05901159718632698,0.0007797030848450959,0.0,0.05901159718632698,-7.25090503692627e-05,0.00010214745998382568,7.25090503692627e-05,0.00010214745998382568,0.0,0.0,0.0,3,4.148261434434515,-4.98146776331739,-4.98146776331739,4.148261434434515,0.0,0.0,5.0,0,0.00016333555196758985,13,7.5865954217846046,-1.7414466629865135,-1.7414466629865135,7.5865954217846046,5.0,0,-3.361457213151952,3.2400211003308765,2,3,3,5.0,5.0,5.0,-1.9785816669464111,3.64599609375,0.0003424466121941805,4.853566767243356e-12,-1.9785816669464111,3.64599609375
181,SAFE,76,7.6000000000000005,3.0,46,4.6000000000000005,-0.10858040302991867,-0.017621949315071106,0.10858040302991867,0.0,0.017621949315071106,-0.0028707310557365417,-0.013135396409779787,0.0028707310557365417,0.013135396409779787,0.0,0.0,0.0,2,11.39911127762678,6.224301133990335,6.224301133990335,11.39911127762678,-3.31544805242023,0.0,5.0,0,-2.7998006485509457,1,14.918614038714896,9.736836873670052,9.736836873670052,14.918614038714896,5.0,0,7.980569003830194,3.512535739679717,0,0,0,5.0,5.0,5.0,-10.28656005859375,-4.911865234375,-3.1026153564453125,1.1153829859722464e-08,-10.28656005859375,-4.911865234375
181,SAFE,76,7.6000000000000005,2.0,56,5.6000000000000005,-0.1278156042098999,-0.2194826304912567,0.1278156042098999,0.0,0.2194826304912567,0.0031060874462127686,-0.022021114826202393,0.0031060874462127686,0.022021114826202393,0.0,0.0,0.0,2,13.938538117354016,8.763727973717572,8.763727973717572,13.938538117354016,-5.339279465473382,0.0,5.0,0,-2.1501574795915706,1,17.584051444563325,12.402274279518481,12.402274279518481,17.584051444563325,5.0,0,10.583001126618026,3.6385463058009098,0,0,0,5.0,5.0,5.0,-12.64984130859375,-5.85357666015625,-2.369203805923462,3.1612671591574326e-08,-12.64984130859375,-5.85357666015625
181,SAFE,76,7.6000000000000005,1.0,66,6.6000000000000005,-0.09176558256149292,-0.36361125111579895,0.09176558256149292,0.0,0.36361125111579895,0.002920389175415039,-0.0011042654514312744,0.002920389175415039,0.0011042654514312744,0.0,0.0,0.0,2,15.727158696935051,10.552348553298607,10.552348553298607,15.727158696935051,-7.868442536050548,0.0,5.0,0,-1.4524040333722645,7,18.21918580271037,13.00321030915407,12.530728622369697,17.746704115925997,2.419432033344823,1,11.541538587834152,1.9783800690710898,0,0,0,5.0,5.0,5.0,-13.40643310546875,-8.22259521484375,-1.7038229703903198,-5.93672311310911e-09,-13.40643310546875,-8.22259521484375
